Time.[FiscalWeekKey],Location.[LocationKey],Activity.[ActivityKey],Item.[ItemKey],Version.[VersionKey],Transport.[TransportKey],Product.[ProductKey],Material Production Planned WIP
W2-2017,7,Act-5007-7,2,0,0,2,100
W3-2017,7,Act-5007-7,2,0,0,2,25
W0-2017,7,Act-5007-7,3,0,0,3,100
W1-2017,7,Act-5007-7,3,0,0,3,25
W2-2017,7,Act-5007-7,3,0,0,3,25
W3-2017,7,Act-5007-7,3,0,0,3,50
W0-2017,7,Act-5007-7,0,0,0,0,25
W1-2017,7,Act-5007-7,0,0,0,0,50
W2-2017,7,Act-5007-7,0,0,0,0,75
W3-2017,7,Act-5007-7,0,0,0,0,50
W0-2017,8,Act-5008-8,1,0,0,1,75
W1-2017,8,Act-5008-8,1,0,0,1,100
W2-2017,8,Act-5008-8,1,0,0,1,100
W3-2017,8,Act-5008-8,1,0,0,1,50
W0-2017,8,Act-5008-8,2,0,0,2,50
W1-2017,8,Act-5008-8,2,0,0,2,50
W2-2017,8,Act-5008-8,2,0,0,2,25
W3-2017,8,Act-5008-8,2,0,0,2,25
W0-2017,8,Act-5008-8,3,0,0,3,75
W1-2017,8,Act-5008-8,3,0,0,3,75
W2-2017,8,Act-5008-8,3,0,0,3,25
W3-2017,8,Act-5008-8,3,0,0,3,50
W0-2017,8,Act-5008-8,0,0,0,0,25
W1-2017,8,Act-5008-8,0,0,0,0,25
W2-2017,8,Act-5008-8,0,0,0,0,25
W3-2017,8,Act-5008-8,0,0,0,0,75
W0-2017,9,Act-5009-9,1,0,0,1,100
W1-2017,9,Act-5009-9,1,0,0,1,25
W2-2017,9,Act-5009-9,1,0,0,1,75
W3-2017,9,Act-5009-9,1,0,0,1,50
W0-2017,9,Act-5009-9,2,0,0,2,75
W1-2017,9,Act-5009-9,2,0,0,2,25
W2-2017,9,Act-5009-9,2,0,0,2,100
W3-2017,9,Act-5009-9,2,0,0,2,25
W0-2017,9,Act-5009-9,3,0,0,3,100
W1-2017,9,Act-5009-9,3,0,0,3,25
W2-2017,9,Act-5009-9,3,0,0,3,75
W3-2017,9,Act-5009-9,3,0,0,3,25
W0-2017,9,Act-5009-9,0,0,0,0,50
W1-2017,9,Act-5009-9,0,0,0,0,100
W2-2017,9,Act-5009-9,0,0,0,0,25
W3-2017,9,Act-5009-9,0,0,0,0,75
W0-2017,10,Act-5010-10,1,0,0,1,50
W1-2017,10,Act-5010-10,1,0,0,1,25
W2-2017,10,Act-5010-10,1,0,0,1,50
W3-2017,10,Act-5010-10,1,0,0,1,100
W0-2017,10,Act-5010-10,2,0,0,2,75
W1-2017,10,Act-5010-10,2,0,0,2,25
W2-2017,10,Act-5010-10,2,0,0,2,75
W3-2017,10,Act-5010-10,2,0,0,2,25
W0-2017,10,Act-5010-10,3,0,0,3,75
W1-2017,10,Act-5010-10,3,0,0,3,100
W2-2017,10,Act-5010-10,3,0,0,3,25
W3-2017,10,Act-5010-10,3,0,0,3,75
W0-2017,10,Act-5010-10,0,0,0,0,25
W1-2017,10,Act-5010-10,0,0,0,0,50
W2-2017,10,Act-5010-10,0,0,0,0,100
W3-2017,10,Act-5010-10,0,0,0,0,75
W0-2017,11,Act-5011-11,1,0,0,1,25
W1-2017,11,Act-5011-11,1,0,0,1,50
W2-2017,11,Act-5011-11,1,0,0,1,75
W3-2017,11,Act-5011-11,1,0,0,1,25
W0-2017,11,Act-5011-11,2,0,0,2,75
W1-2017,11,Act-5011-11,2,0,0,2,50
W2-2017,11,Act-5011-11,2,0,0,2,100
W3-2017,11,Act-5011-11,2,0,0,2,50
W0-2017,11,Act-5011-11,3,0,0,3,25
W1-2017,11,Act-5011-11,3,0,0,3,100
W2-2017,11,Act-5011-11,3,0,0,3,50
W3-2017,11,Act-5011-11,3,0,0,3,25
W0-2017,11,Act-5011-11,0,0,0,0,75
W1-2017,11,Act-5011-11,0,0,0,0,25
W2-2017,11,Act-5011-11,0,0,0,0,100
W3-2017,11,Act-5011-11,0,0,0,0,75
W0-2017,12,Act-5012-12,1,0,0,1,50
W1-2017,12,Act-5012-12,1,0,0,1,75
W2-2017,12,Act-5012-12,1,0,0,1,100
W3-2017,12,Act-5012-12,1,0,0,1,25
W0-2017,12,Act-5012-12,2,0,0,2,100
W1-2017,12,Act-5012-12,2,0,0,2,25
W2-2017,12,Act-5012-12,2,0,0,2,25
W3-2017,12,Act-5012-12,2,0,0,2,100
W0-2017,12,Act-5012-12,3,0,0,3,75
W1-2017,12,Act-5012-12,3,0,0,3,50
W2-2017,12,Act-5012-12,3,0,0,3,75
W3-2017,12,Act-5012-12,3,0,0,3,75
W0-2017,12,Act-5012-12,0,0,0,0,100
W1-2017,12,Act-5012-12,0,0,0,0,25
W2-2017,12,Act-5012-12,0,0,0,0,100
W3-2017,12,Act-5012-12,0,0,0,0,50
W0-2017,13,Act-5013-13,1,0,0,1,25
W1-2017,13,Act-5013-13,1,0,0,1,25
W2-2017,13,Act-5013-13,1,0,0,1,25
W3-2017,13,Act-5013-13,1,0,0,1,100
W0-2017,13,Act-5013-13,2,0,0,2,50
W1-2017,13,Act-5013-13,2,0,0,2,25
W2-2017,13,Act-5013-13,2,0,0,2,100
W3-2017,13,Act-5013-13,2,0,0,2,100
W0-2017,13,Act-5013-13,3,0,0,3,50
W1-2017,13,Act-5013-13,3,0,0,3,25
W2-2017,13,Act-5013-13,3,0,0,3,75
W3-2017,13,Act-5013-13,3,0,0,3,75
W0-2017,13,Act-5013-13,0,0,0,0,75
W1-2017,13,Act-5013-13,0,0,0,0,50
W2-2017,13,Act-5013-13,0,0,0,0,75
W3-2017,13,Act-5013-13,0,0,0,0,75
W0-2017,14,Act-5014-14,1,0,0,1,100
W1-2017,14,Act-5014-14,1,0,0,1,50
W2-2017,14,Act-5014-14,1,0,0,1,50
W3-2017,14,Act-5014-14,1,0,0,1,50
W0-2017,14,Act-5014-14,2,0,0,2,75
W1-2017,14,Act-5014-14,2,0,0,2,100
W2-2017,14,Act-5014-14,2,0,0,2,100
W3-2017,14,Act-5014-14,2,0,0,2,100
W0-2017,14,Act-5014-14,3,0,0,3,50
W1-2017,14,Act-5014-14,3,0,0,3,100
W2-2017,14,Act-5014-14,3,0,0,3,50
W3-2017,14,Act-5014-14,3,0,0,3,50
W0-2017,14,Act-5014-14,0,0,0,0,100
W1-2017,14,Act-5014-14,0,0,0,0,25
W2-2017,14,Act-5014-14,0,0,0,0,50
W3-2017,14,Act-5014-14,0,0,0,0,25
W0-2017,15,Act-5015-15,1,0,0,1,100
W1-2017,15,Act-5015-15,1,0,0,1,25
W2-2017,15,Act-5015-15,1,0,0,1,100
W3-2017,15,Act-5015-15,1,0,0,1,75
W0-2017,15,Act-5015-15,2,0,0,2,100
W1-2017,15,Act-5015-15,2,0,0,2,100
W2-2017,15,Act-5015-15,2,0,0,2,50
W3-2017,15,Act-5015-15,2,0,0,2,50
W0-2017,15,Act-5015-15,3,0,0,3,100
W1-2017,15,Act-5015-15,3,0,0,3,100
W2-2017,15,Act-5015-15,3,0,0,3,100
W3-2017,15,Act-5015-15,3,0,0,3,75
W0-2017,15,Act-5015-15,0,0,0,0,75
W1-2017,15,Act-5015-15,0,0,0,0,50
W2-2017,15,Act-5015-15,0,0,0,0,25
W3-2017,15,Act-5015-15,0,0,0,0,50
W0-2017,16,Act-5016-16,1,0,0,1,100
W1-2017,16,Act-5016-16,1,0,0,1,25
W2-2017,16,Act-5016-16,1,0,0,1,100
W3-2017,16,Act-5016-16,1,0,0,1,75
W0-2017,16,Act-5016-16,2,0,0,2,100
W1-2017,16,Act-5016-16,2,0,0,2,50
W2-2017,16,Act-5016-16,2,0,0,2,75
W3-2017,16,Act-5016-16,2,0,0,2,50
W0-2017,16,Act-5016-16,3,0,0,3,50
W1-2017,16,Act-5016-16,3,0,0,3,50
W2-2017,16,Act-5016-16,3,0,0,3,75
W3-2017,16,Act-5016-16,3,0,0,3,50
W0-2017,16,Act-5016-16,0,0,0,0,75
W1-2017,16,Act-5016-16,0,0,0,0,75
W2-2017,16,Act-5016-16,0,0,0,0,25
W3-2017,16,Act-5016-16,0,0,0,0,25
W0-2017,17,Act-5017-17,1,0,0,1,75
W1-2017,17,Act-5017-17,1,0,0,1,75
W2-2017,17,Act-5017-17,1,0,0,1,75
W3-2017,17,Act-5017-17,1,0,0,1,50
W0-2017,17,Act-5017-17,2,0,0,2,50
W1-2017,17,Act-5017-17,2,0,0,2,100
W2-2017,17,Act-5017-17,2,0,0,2,100
W3-2017,17,Act-5017-17,2,0,0,2,100
W0-2017,17,Act-5017-17,3,0,0,3,25
W1-2017,17,Act-5017-17,3,0,0,3,100
W2-2017,17,Act-5017-17,3,0,0,3,75
W3-2017,17,Act-5017-17,3,0,0,3,100
W0-2017,17,Act-5017-17,0,0,0,0,25
W1-2017,17,Act-5017-17,0,0,0,0,25
W2-2017,17,Act-5017-17,0,0,0,0,25
W3-2017,17,Act-5017-17,0,0,0,0,100
W0-2017,18,Act-5018-18,1,0,0,1,75
W1-2017,18,Act-5018-18,1,0,0,1,25
W2-2017,18,Act-5018-18,1,0,0,1,50
W3-2017,18,Act-5018-18,1,0,0,1,100
W0-2017,18,Act-5018-18,2,0,0,2,50
W1-2017,18,Act-5018-18,2,0,0,2,100
W2-2017,18,Act-5018-18,2,0,0,2,50
W3-2017,18,Act-5018-18,2,0,0,2,75
W0-2017,18,Act-5018-18,3,0,0,3,50
W1-2017,18,Act-5018-18,3,0,0,3,75
W2-2017,18,Act-5018-18,3,0,0,3,50
W3-2017,18,Act-5018-18,3,0,0,3,50
W0-2017,18,Act-5018-18,0,0,0,0,50
W1-2017,18,Act-5018-18,0,0,0,0,25
W2-2017,18,Act-5018-18,0,0,0,0,100
W3-2017,18,Act-5018-18,0,0,0,0,50
W0-2017,19,Act-5019-19,1,0,0,1,75
W1-2017,19,Act-5019-19,1,0,0,1,75
W2-2017,19,Act-5019-19,1,0,0,1,100
W3-2017,19,Act-5019-19,1,0,0,1,25
W0-2017,19,Act-5019-19,2,0,0,2,100
W1-2017,19,Act-5019-19,2,0,0,2,100
W2-2017,19,Act-5019-19,2,0,0,2,25
W3-2017,19,Act-5019-19,2,0,0,2,100
W0-2017,19,Act-5019-19,3,0,0,3,25
W1-2017,19,Act-5019-19,3,0,0,3,100
W2-2017,19,Act-5019-19,3,0,0,3,75
W3-2017,19,Act-5019-19,3,0,0,3,100
W0-2017,19,Act-5019-19,0,0,0,0,100
W1-2017,19,Act-5019-19,0,0,0,0,100
W2-2017,19,Act-5019-19,0,0,0,0,50
W3-2017,19,Act-5019-19,0,0,0,0,25
W0-2017,20,Act-5020-20,1,0,0,1,25
W1-2017,20,Act-5020-20,1,0,0,1,75
W2-2017,20,Act-5020-20,1,0,0,1,75
W3-2017,20,Act-5020-20,1,0,0,1,75
W0-2017,20,Act-5020-20,2,0,0,2,25
W1-2017,20,Act-5020-20,2,0,0,2,50
W2-2017,20,Act-5020-20,2,0,0,2,75
W3-2017,20,Act-5020-20,2,0,0,2,100
W0-2017,20,Act-5020-20,3,0,0,3,50
W1-2017,20,Act-5020-20,3,0,0,3,25
W2-2017,20,Act-5020-20,3,0,0,3,100
W3-2017,20,Act-5020-20,3,0,0,3,75
W0-2017,20,Act-5020-20,0,0,0,0,75
W1-2017,20,Act-5020-20,0,0,0,0,50
W2-2017,20,Act-5020-20,0,0,0,0,75
W3-2017,20,Act-5020-20,0,0,0,0,100
W0-2017,21,Act-5021-21,1,0,0,1,25
W1-2017,21,Act-5021-21,1,0,0,1,25
W2-2017,21,Act-5021-21,1,0,0,1,25
W3-2017,21,Act-5021-21,1,0,0,1,50
W0-2017,21,Act-5021-21,2,0,0,2,25
W1-2017,21,Act-5021-21,2,0,0,2,25
W2-2017,21,Act-5021-21,2,0,0,2,25
W3-2017,21,Act-5021-21,2,0,0,2,100
W0-2017,21,Act-5021-21,3,0,0,3,25
W1-2017,21,Act-5021-21,3,0,0,3,75
W2-2017,21,Act-5021-21,3,0,0,3,75
W3-2017,21,Act-5021-21,3,0,0,3,75
W0-2017,21,Act-5021-21,0,0,0,0,50
W1-2017,21,Act-5021-21,0,0,0,0,50
W2-2017,21,Act-5021-21,0,0,0,0,75
W3-2017,21,Act-5021-21,0,0,0,0,75
W0-2017,22,Act-5022-22,1,0,0,1,25
W1-2017,22,Act-5022-22,1,0,0,1,25
W2-2017,22,Act-5022-22,1,0,0,1,50
W3-2017,22,Act-5022-22,1,0,0,1,75
W0-2017,22,Act-5022-22,2,0,0,2,50
W1-2017,22,Act-5022-22,2,0,0,2,25
W2-2017,22,Act-5022-22,2,0,0,2,25
W3-2017,22,Act-5022-22,2,0,0,2,50
W0-2017,22,Act-5022-22,3,0,0,3,25
W1-2017,22,Act-5022-22,3,0,0,3,25
W2-2017,22,Act-5022-22,3,0,0,3,75
W3-2017,22,Act-5022-22,3,0,0,3,75
W0-2017,22,Act-5022-22,0,0,0,0,100
W1-2017,22,Act-5022-22,0,0,0,0,50
W2-2017,22,Act-5022-22,0,0,0,0,25
W3-2017,22,Act-5022-22,0,0,0,0,100
W0-2017,23,Act-5023-23,1,0,0,1,25
W1-2017,23,Act-5023-23,1,0,0,1,75
W2-2017,23,Act-5023-23,1,0,0,1,100
W3-2017,23,Act-5023-23,1,0,0,1,75
W0-2017,23,Act-5023-23,2,0,0,2,75
W1-2017,23,Act-5023-23,2,0,0,2,25
W2-2017,23,Act-5023-23,2,0,0,2,25
W3-2017,23,Act-5023-23,2,0,0,2,25
W0-2017,23,Act-5023-23,3,0,0,3,75
W1-2017,23,Act-5023-23,3,0,0,3,100
W2-2017,23,Act-5023-23,3,0,0,3,75
W3-2017,23,Act-5023-23,3,0,0,3,75
W0-2017,23,Act-5023-23,0,0,0,0,100
W1-2017,23,Act-5023-23,0,0,0,0,100
W2-2017,23,Act-5023-23,0,0,0,0,75
W3-2017,23,Act-5023-23,0,0,0,0,25
W0-2017,24,Act-5024-24,1,0,0,1,50
W1-2017,24,Act-5024-24,1,0,0,1,50
W2-2017,24,Act-5024-24,1,0,0,1,75
W3-2017,24,Act-5024-24,1,0,0,1,75
W0-2017,24,Act-5024-24,2,0,0,2,25
W1-2017,24,Act-5024-24,2,0,0,2,100
W2-2017,24,Act-5024-24,2,0,0,2,75
W3-2017,24,Act-5024-24,2,0,0,2,100
W0-2017,24,Act-5024-24,3,0,0,3,25
W1-2017,24,Act-5024-24,3,0,0,3,100
W2-2017,24,Act-5024-24,3,0,0,3,25
W3-2017,24,Act-5024-24,3,0,0,3,25
W0-2017,24,Act-5024-24,0,0,0,0,50
W1-2017,24,Act-5024-24,0,0,0,0,50
W2-2017,24,Act-5024-24,0,0,0,0,100
W3-2017,24,Act-5024-24,0,0,0,0,75
W0-2017,25,Act-5025-25,1,0,0,1,50
W1-2017,25,Act-5025-25,1,0,0,1,75
W2-2017,25,Act-5025-25,1,0,0,1,50
W3-2017,25,Act-5025-25,1,0,0,1,100
W0-2017,25,Act-5025-25,2,0,0,2,50
W1-2017,25,Act-5025-25,2,0,0,2,25
W2-2017,25,Act-5025-25,2,0,0,2,100
W3-2017,25,Act-5025-25,2,0,0,2,25
W0-2017,25,Act-5025-25,3,0,0,3,25
W1-2017,25,Act-5025-25,3,0,0,3,50
W2-2017,25,Act-5025-25,3,0,0,3,25
W3-2017,25,Act-5025-25,3,0,0,3,50
W0-2017,25,Act-5025-25,0,0,0,0,75
W1-2017,25,Act-5025-25,0,0,0,0,75
W2-2017,25,Act-5025-25,0,0,0,0,50
W3-2017,25,Act-5025-25,0,0,0,0,25
W0-2017,26,Act-5026-26,1,0,0,1,50
W1-2017,26,Act-5026-26,1,0,0,1,75
W2-2017,26,Act-5026-26,1,0,0,1,50
W3-2017,26,Act-5026-26,1,0,0,1,75
W0-2017,26,Act-5026-26,2,0,0,2,75
W1-2017,26,Act-5026-26,2,0,0,2,75
W2-2017,26,Act-5026-26,2,0,0,2,100
W3-2017,26,Act-5026-26,2,0,0,2,25
W0-2017,26,Act-5026-26,3,0,0,3,100
W1-2017,26,Act-5026-26,3,0,0,3,100
W2-2017,26,Act-5026-26,3,0,0,3,75
W3-2017,26,Act-5026-26,3,0,0,3,100
W0-2017,26,Act-5026-26,0,0,0,0,100
W1-2017,26,Act-5026-26,0,0,0,0,100
W2-2017,26,Act-5026-26,0,0,0,0,75
W3-2017,26,Act-5026-26,0,0,0,0,25
W0-2017,27,Act-5027-27,1,0,0,1,25
W1-2017,27,Act-5027-27,1,0,0,1,100
W2-2017,27,Act-5027-27,1,0,0,1,50
W3-2017,27,Act-5027-27,1,0,0,1,25
W0-2017,27,Act-5027-27,2,0,0,2,50
W1-2017,27,Act-5027-27,2,0,0,2,100
W2-2017,27,Act-5027-27,2,0,0,2,75
W3-2017,27,Act-5027-27,2,0,0,2,50
W0-2017,27,Act-5027-27,3,0,0,3,50
W1-2017,27,Act-5027-27,3,0,0,3,50
W2-2017,27,Act-5027-27,3,0,0,3,75
W3-2017,27,Act-5027-27,3,0,0,3,100
W0-2017,27,Act-5027-27,0,0,0,0,100
W1-2017,27,Act-5027-27,0,0,0,0,50
W2-2017,27,Act-5027-27,0,0,0,0,50
W3-2017,27,Act-5027-27,0,0,0,0,50
W0-2017,28,Act-5028-28,1,0,0,1,50
W1-2017,28,Act-5028-28,1,0,0,1,100
W2-2017,28,Act-5028-28,1,0,0,1,75
W3-2017,28,Act-5028-28,1,0,0,1,100
W0-2017,28,Act-5028-28,2,0,0,2,25
W1-2017,28,Act-5028-28,2,0,0,2,25
W2-2017,28,Act-5028-28,2,0,0,2,100
W3-2017,28,Act-5028-28,2,0,0,2,100
W0-2017,28,Act-5028-28,3,0,0,3,100
W1-2017,28,Act-5028-28,3,0,0,3,25
W2-2017,28,Act-5028-28,3,0,0,3,25
W3-2017,28,Act-5028-28,3,0,0,3,50
W0-2017,28,Act-5028-28,0,0,0,0,50
W1-2017,28,Act-5028-28,0,0,0,0,100
W2-2017,28,Act-5028-28,0,0,0,0,25
W3-2017,28,Act-5028-28,0,0,0,0,25
W0-2017,29,Act-5029-29,1,0,0,1,75
W1-2017,29,Act-5029-29,1,0,0,1,100
W2-2017,29,Act-5029-29,1,0,0,1,50
W3-2017,29,Act-5029-29,1,0,0,1,75
W0-2017,29,Act-5029-29,2,0,0,2,50
W1-2017,29,Act-5029-29,2,0,0,2,50
W2-2017,29,Act-5029-29,2,0,0,2,100
W3-2017,29,Act-5029-29,2,0,0,2,75
W0-2017,29,Act-5029-29,3,0,0,3,100
W1-2017,29,Act-5029-29,3,0,0,3,25
W2-2017,29,Act-5029-29,3,0,0,3,25
W3-2017,29,Act-5029-29,3,0,0,3,25
W0-2017,29,Act-5029-29,0,0,0,0,25
W1-2017,29,Act-5029-29,0,0,0,0,25
W2-2017,29,Act-5029-29,0,0,0,0,50
W3-2017,29,Act-5029-29,0,0,0,0,50
W0-2017,30,Act-5030-30,1,0,0,1,75
W1-2017,30,Act-5030-30,1,0,0,1,25
W2-2017,30,Act-5030-30,1,0,0,1,50
W3-2017,30,Act-5030-30,1,0,0,1,25
W0-2017,30,Act-5030-30,2,0,0,2,25
W1-2017,30,Act-5030-30,2,0,0,2,75
W2-2017,30,Act-5030-30,2,0,0,2,100
W3-2017,30,Act-5030-30,2,0,0,2,100
W0-2017,30,Act-5030-30,3,0,0,3,100
W1-2017,30,Act-5030-30,3,0,0,3,50
W2-2017,30,Act-5030-30,3,0,0,3,50
W3-2017,30,Act-5030-30,3,0,0,3,50
W0-2017,30,Act-5030-30,0,0,0,0,100
W1-2017,30,Act-5030-30,0,0,0,0,50
W2-2017,30,Act-5030-30,0,0,0,0,100
W3-2017,30,Act-5030-30,0,0,0,0,50
W0-2017,31,Act-5031-31,1,0,0,1,50
W1-2017,31,Act-5031-31,1,0,0,1,50
W2-2017,31,Act-5031-31,1,0,0,1,25
W3-2017,31,Act-5031-31,1,0,0,1,100
W0-2017,31,Act-5031-31,2,0,0,2,25
W1-2017,31,Act-5031-31,2,0,0,2,100
W2-2017,31,Act-5031-31,2,0,0,2,25
W3-2017,31,Act-5031-31,2,0,0,2,25
W0-2017,31,Act-5031-31,3,0,0,3,25
W1-2017,31,Act-5031-31,3,0,0,3,25
W2-2017,31,Act-5031-31,3,0,0,3,100
W3-2017,31,Act-5031-31,3,0,0,3,25
W0-2017,31,Act-5031-31,0,0,0,0,25
W1-2017,31,Act-5031-31,0,0,0,0,75
W2-2017,31,Act-5031-31,0,0,0,0,100
W3-2017,31,Act-5031-31,0,0,0,0,75
W0-2017,32,Act-5032-32,1,0,0,1,100
W1-2017,32,Act-5032-32,1,0,0,1,75
W2-2017,32,Act-5032-32,1,0,0,1,100
W3-2017,32,Act-5032-32,1,0,0,1,50
W0-2017,32,Act-5032-32,2,0,0,2,75
W1-2017,32,Act-5032-32,2,0,0,2,100
W2-2017,32,Act-5032-32,2,0,0,2,25
W3-2017,32,Act-5032-32,2,0,0,2,100
W0-2017,32,Act-5032-32,3,0,0,3,100
W1-2017,32,Act-5032-32,3,0,0,3,50
W2-2017,32,Act-5032-32,3,0,0,3,75
W3-2017,32,Act-5032-32,3,0,0,3,100
W0-2017,32,Act-5032-32,0,0,0,0,100
W1-2017,32,Act-5032-32,0,0,0,0,75
W2-2017,32,Act-5032-32,0,0,0,0,100
W3-2017,32,Act-5032-32,0,0,0,0,75
W0-2017,33,Act-5033-33,1,0,0,1,25
W1-2017,33,Act-5033-33,1,0,0,1,75
W2-2017,33,Act-5033-33,1,0,0,1,100
