Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Version.[VersionKey],Activity Lead Time,Solver Activity End Date,Solver Activity Start Date
Act-5052-132,0,0,0,1,,
Act-5053-133,0,1,0,1,,
Act-5053-133,0,2,0,1,,
Act-5053-133,0,3,0,1,,
Act-5053-133,0,0,0,1,,
Act-5054-134,0,1,0,1,,
Act-5054-134,0,2,0,1,,
Act-5054-134,0,3,0,1,,
Act-5054-134,0,0,0,1,,
Act-5055-135,0,1,0,1,,
Act-5055-135,0,2,0,1,,
Act-5055-135,0,3,0,1,,
Act-5055-135,0,0,0,1,,
Act-5056-136,0,1,0,1,,
Act-5056-136,0,2,0,1,,
Act-5056-136,0,3,0,1,,
Act-5056-136,0,0,0,1,,
Act-5057-137,0,1,0,1,,
Act-5057-137,0,2,0,1,,
Act-5057-137,0,3,0,1,,
Act-5057-137,0,0,0,1,,
Act-5058-138,0,1,0,1,,
Act-5058-138,0,2,0,1,,
Act-5058-138,0,3,0,1,,
Act-5058-138,0,0,0,1,,
Act-5059-139,0,1,0,1,,
Act-5059-139,0,2,0,1,,
Act-5059-139,0,3,0,1,,
Act-5059-139,0,0,0,1,,
Act-5060-140,0,1,0,1,,
Act-5060-140,0,2,0,1,,
Act-5060-140,0,3,0,1,,
Act-5060-140,0,0,0,1,,
Act-5061-141,0,1,0,1,,
Act-5061-141,0,2,0,1,,
Act-5061-141,0,3,0,1,,
Act-5061-141,0,0,0,1,,
Act-5062-142,0,1,0,1,,
Act-5062-142,0,2,0,1,,
Act-5062-142,0,3,0,1,,
Act-5062-142,0,0,0,1,,
Act-5063-143,0,1,0,1,,
Act-5063-143,0,2,0,1,,
Act-5063-143,0,3,0,1,,
Act-5063-143,0,0,0,1,,
Act-5064-144,0,1,0,1,,
Act-5064-144,0,2,0,1,,
Act-5064-144,0,3,0,1,,
Act-5064-144,0,0,0,1,,
Act-5065-145,0,1,0,1,,
Act-5065-145,0,2,0,1,,
Act-5065-145,0,3,0,1,,
Act-5065-145,0,0,0,1,,
Act-5066-146,0,1,0,1,,
Act-5066-146,0,2,0,1,,
Act-5066-146,0,3,0,1,,
Act-5066-146,0,0,0,1,,
Act-5067-147,0,1,0,1,,
Act-5067-147,0,2,0,1,,
Act-5067-147,0,3,0,1,,
Act-5067-147,0,0,0,1,,
Act-5068-148,0,1,0,1,,
Act-5068-148,0,2,0,1,,
Act-5068-148,0,3,0,1,,
Act-5068-148,0,0,0,1,,
Act-5069-149,0,1,0,1,,
Act-5069-149,0,2,0,1,,
Act-5069-149,0,3,0,1,,
Act-5069-149,0,0,0,1,,
Act-5070-150,0,1,0,1,,
Act-5070-150,0,2,0,1,,
Act-5070-150,0,3,0,1,,
Act-5070-150,0,0,0,1,,
Act-5071-151,0,1,0,1,,
Act-5071-151,0,2,0,1,,
Act-5071-151,0,3,0,1,,
Act-5071-151,0,0,0,1,,
Act-5072-152,0,1,0,1,,
Act-5072-152,0,2,0,1,,
Act-5072-152,0,3,0,1,,
Act-5072-152,0,0,0,1,,
Act-5073-153,0,1,0,1,,
Act-5073-153,0,2,0,1,,
Act-5073-153,0,3,0,1,,
Act-5073-153,0,0,0,1,,
Act-5074-154,0,1,0,1,,
Act-5074-154,0,2,0,1,,
Act-5074-154,0,3,0,1,,
Act-5074-154,0,0,0,1,,
Act-5075-155,0,1,0,1,,
Act-5075-155,0,2,0,1,,
Act-5075-155,0,3,0,1,,
Act-5075-155,0,0,0,1,,
Act-5076-156,0,1,0,1,,
Act-5076-156,0,2,0,1,,
Act-5076-156,0,3,0,1,,
Act-5076-156,0,0,0,1,,
Act-5077-157,0,1,0,1,,
Act-5077-157,0,2,0,1,,
Act-5077-157,0,3,0,1,,
Act-5077-157,0,0,0,1,,
Act-5078-158,0,1,0,1,,
Act-5078-158,0,2,0,1,,
Act-5078-158,0,3,0,1,,
Act-5078-158,0,0,0,1,,
Act-5079-159,0,1,0,1,,
Act-5079-159,0,2,0,1,,
Act-5079-159,0,3,0,1,,
Act-5079-159,0,0,0,1,,
Act-5000-160,0,1,0,1,,
Act-5000-160,0,2,0,1,,
Act-5000-160,0,3,0,1,,
Act-5000-160,0,0,0,1,,
Act-5001-161,0,1,0,1,,
Act-5001-161,0,2,0,1,,
Act-5001-161,0,3,0,1,,
Act-5001-161,0,0,0,1,,
Act-5002-162,0,1,0,1,,
Act-5002-162,0,2,0,1,,
Act-5002-162,0,3,0,1,,
Act-5002-162,0,0,0,1,,
Act-5003-163,0,1,0,1,,
Act-5003-163,0,2,0,1,,
Act-5003-163,0,3,0,1,,
Act-5003-163,0,0,0,1,,
Act-5004-164,0,1,0,1,,
Act-5004-164,0,2,0,1,,
Act-5004-164,0,3,0,1,,
Act-5004-164,0,0,0,1,,
Act-5005-165,0,1,0,1,,
Act-5005-165,0,2,0,1,,
Act-5005-165,0,3,0,1,,
Act-5005-165,0,0,0,1,,
Act-5006-166,0,1,0,1,,
Act-5006-166,0,2,0,1,,
Act-5006-166,0,3,0,1,,
Act-5006-166,0,0,0,1,,
Act-5007-167,0,1,0,1,,
Act-5007-167,0,2,0,1,,
Act-5007-167,0,3,0,1,,
Act-5007-167,0,0,0,1,,
Act-5008-168,0,1,0,1,,
Act-5008-168,0,2,0,1,,
Act-5008-168,0,3,0,1,,
Act-5008-168,0,0,0,1,,
Act-5009-169,0,1,0,1,,
Act-5009-169,0,2,0,1,,
Act-5009-169,0,3,0,1,,
Act-5009-169,0,0,0,1,,
Act-5010-170,0,1,0,1,,
Act-5010-170,0,2,0,1,,
Act-5010-170,0,3,0,1,,
Act-5010-170,0,0,0,1,,
Act-5011-171,0,1,0,1,,
Act-5011-171,0,2,0,1,,
Act-5011-171,0,3,0,1,,
Act-5011-171,0,0,0,1,,
Act-5012-172,0,1,0,1,,
Act-5012-172,0,2,0,1,,
Act-5012-172,0,3,0,1,,
Act-5012-172,0,0,0,1,,
Act-5013-173,0,1,0,1,,
Act-5013-173,0,2,0,1,,
Act-5013-173,0,3,0,1,,
Act-5013-173,0,0,0,1,,
Act-5014-174,0,1,0,1,,
Act-5014-174,0,2,0,1,,
Act-5014-174,0,3,0,1,,
Act-5014-174,0,0,0,1,,
Act-5015-175,0,1,0,1,,
Act-5015-175,0,2,0,1,,
Act-5015-175,0,3,0,1,,
Act-5015-175,0,0,0,1,,
Act-5016-176,0,1,0,1,,
Act-5016-176,0,2,0,1,,
Act-5016-176,0,3,0,1,,
Act-5016-176,0,0,0,1,,
Act-5017-177,0,1,0,1,,
Act-5017-177,0,2,0,1,,
Act-5017-177,0,3,0,1,,
Act-5017-177,0,0,0,1,,
Act-5018-178,0,1,0,1,,
Act-5018-178,0,2,0,1,,
Act-5018-178,0,3,0,1,,
Act-5018-178,0,0,0,1,,
Act-5019-179,0,1,0,1,,
Act-5019-179,0,2,0,1,,
Act-5019-179,0,3,0,1,,
Act-5019-179,0,0,0,1,,
Act-5020-180,0,1,0,1,,
Act-5020-180,0,2,0,1,,
Act-5020-180,0,3,0,1,,
Act-5020-180,0,0,0,1,,
Act-5021-181,0,1,0,1,,
Act-5021-181,0,2,0,1,,
Act-5021-181,0,3,0,1,,
Act-5021-181,0,0,0,1,,
Act-5022-182,0,1,0,1,,
Act-5022-182,0,2,0,1,,
Act-5022-182,0,3,0,1,,
Act-5022-182,0,0,0,1,,
Act-5023-183,0,1,0,1,,
Act-5023-183,0,2,0,1,,
Act-5023-183,0,3,0,1,,
Act-5023-183,0,0,0,1,,
Act-5024-184,0,1,0,1,,
Act-5024-184,0,2,0,1,,
Act-5024-184,0,3,0,1,,
Act-5024-184,0,0,0,1,,
Act-5025-185,0,1,0,1,,
Act-5025-185,0,2,0,1,,
Act-5025-185,0,3,0,1,,
Act-5025-185,0,0,0,1,,
Act-5026-186,0,1,0,1,,
Act-5026-186,0,2,0,1,,
Act-5026-186,0,3,0,1,,
Act-5026-186,0,0,0,1,,
Act-5027-187,0,1,0,1,,
Act-5027-187,0,2,0,1,,
Act-5027-187,0,3,0,1,,
Act-5027-187,0,0,0,1,,
Act-5028-188,0,1,0,1,,
Act-5028-188,0,2,0,1,,
Act-5028-188,0,3,0,1,,
Act-5028-188,0,0,0,1,,
Act-5029-189,0,1,0,1,,
Act-5029-189,0,2,0,1,,
Act-5029-189,0,3,0,1,,
Act-5029-189,0,0,0,1,,
Act-5030-190,0,1,0,1,,
Act-5030-190,0,2,0,1,,
Act-5030-190,0,3,0,1,,
Act-5030-190,0,0,0,1,,
Act-5031-191,0,1,0,1,,
Act-5031-191,0,2,0,1,,
Act-5031-191,0,3,0,1,,
Act-5031-191,0,0,0,1,,
Act-5032-192,0,1,0,1,,
