Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Item.[ItemKey],Location.[LocationKey],Version.[VersionKey],Material Production Graph Association,Material Production Min Qty,Material Production Multiple Qty,Material Production Priority,Material Production Qty Per,No Build
Act-5017-17,0,3,3,17,0,1,50,25,1,1,
Act-5017-17,0,0,0,17,0,1,50,25,1,1,
Act-5018-18,0,1,1,18,0,1,50,25,1,1,
Act-5018-18,0,2,2,18,0,1,50,25,1,1,
Act-5018-18,0,3,3,18,0,1,50,25,1,1,
Act-5018-18,0,0,0,18,0,1,50,25,1,1,
Act-5019-19,0,1,1,19,0,1,50,25,1,1,
Act-5019-19,0,2,2,19,0,1,50,25,1,1,
Act-5019-19,0,3,3,19,0,1,50,25,1,1,
Act-5019-19,0,0,0,19,0,1,50,25,1,1,
Act-5020-20,0,1,1,20,0,1,50,25,1,1,
Act-5020-20,0,2,2,20,0,1,50,25,1,1,
Act-5020-20,0,3,3,20,0,1,50,25,1,1,
Act-5020-20,0,0,0,20,0,1,50,25,1,1,
Act-5021-21,0,1,1,21,0,1,50,25,1,1,
Act-5021-21,0,2,2,21,0,1,50,25,1,1,
Act-5021-21,0,3,3,21,0,1,50,25,1,1,
Act-5021-21,0,0,0,21,0,1,50,25,1,1,
Act-5022-22,0,1,1,22,0,1,50,25,1,1,
Act-5022-22,0,2,2,22,0,1,50,25,1,1,
Act-5022-22,0,3,3,22,0,1,50,25,1,1,
Act-5022-22,0,0,0,22,0,1,50,25,1,1,
Act-5023-23,0,1,1,23,0,1,50,25,1,1,
Act-5023-23,0,2,2,23,0,1,50,25,1,1,
Act-5023-23,0,3,3,23,0,1,50,25,1,1,
Act-5023-23,0,0,0,23,0,1,50,25,1,1,
Act-5024-24,0,1,1,24,0,1,50,25,1,1,
Act-5024-24,0,2,2,24,0,1,50,25,1,1,
Act-5024-24,0,3,3,24,0,1,50,25,1,1,
Act-5024-24,0,0,0,24,0,1,50,25,1,1,
Act-5025-25,0,1,1,25,0,1,50,25,1,1,
Act-5025-25,0,2,2,25,0,1,50,25,1,1,
Act-5025-25,0,3,3,25,0,1,50,25,1,1,
Act-5025-25,0,0,0,25,0,1,50,25,1,1,
Act-5026-26,0,1,1,26,0,1,50,25,1,1,
Act-5026-26,0,2,2,26,0,1,50,25,1,1,
Act-5026-26,0,3,3,26,0,1,50,25,1,1,
Act-5026-26,0,0,0,26,0,1,50,25,1,1,
Act-5027-27,0,1,1,27,0,1,50,25,1,1,
Act-5027-27,0,2,2,27,0,1,50,25,1,1,
Act-5027-27,0,3,3,27,0,1,50,25,1,1,
Act-5027-27,0,0,0,27,0,1,50,25,1,1,
Act-5028-28,0,1,1,28,0,1,50,25,1,1,
Act-5028-28,0,2,2,28,0,1,50,25,1,1,
Act-5028-28,0,3,3,28,0,1,50,25,1,1,
Act-5028-28,0,0,0,28,0,1,50,25,1,1,
Act-5029-29,0,1,1,29,0,1,50,25,1,1,
Act-5029-29,0,2,2,29,0,1,50,25,1,1,
Act-5029-29,0,3,3,29,0,1,50,25,1,1,
Act-5029-29,0,0,0,29,0,1,50,25,1,1,
Act-5030-30,0,1,1,30,0,1,50,25,1,1,
Act-5030-30,0,2,2,30,0,1,50,25,1,1,
Act-5030-30,0,3,3,30,0,1,50,25,1,1,
Act-5030-30,0,0,0,30,0,1,50,25,1,1,
Act-5031-31,0,1,1,31,0,1,50,25,1,1,
Act-5031-31,0,2,2,31,0,1,50,25,1,1,
Act-5031-31,0,3,3,31,0,1,50,25,1,1,
Act-5031-31,0,0,0,31,0,1,50,25,1,1,
Act-5032-32,0,1,1,32,0,1,50,25,1,1,
Act-5032-32,0,2,2,32,0,1,50,25,1,1,
Act-5032-32,0,3,3,32,0,1,50,25,1,1,
Act-5032-32,0,0,0,32,0,1,50,25,1,1,
Act-5033-33,0,1,1,33,0,1,50,25,1,1,
Act-5033-33,0,2,2,33,0,1,50,25,1,1,
Act-5033-33,0,3,3,33,0,1,50,25,1,1,
Act-5033-33,0,0,0,33,0,1,50,25,1,1,
Act-5034-34,0,1,1,34,0,1,50,25,1,1,
Act-5034-34,0,2,2,34,0,1,50,25,1,1,
Act-5034-34,0,3,3,34,0,1,50,25,1,1,
Act-5034-34,0,0,0,34,0,1,50,25,1,1,
Act-5035-35,0,1,1,35,0,1,50,25,1,1,
Act-5035-35,0,2,2,35,0,1,50,25,1,1,
Act-5035-35,0,3,3,35,0,1,50,25,1,1,
Act-5035-35,0,0,0,35,0,1,50,25,1,1,
Act-5036-36,0,1,1,36,0,1,50,25,1,1,
Act-5036-36,0,2,2,36,0,1,50,25,1,1,
Act-5036-36,0,3,3,36,0,1,50,25,1,1,
Act-5036-36,0,0,0,36,0,1,50,25,1,1,
Act-5037-37,0,1,1,37,0,1,50,25,1,1,
Act-5037-37,0,2,2,37,0,1,50,25,1,1,
Act-5037-37,0,3,3,37,0,1,50,25,1,1,
Act-5037-37,0,0,0,37,0,1,50,25,1,1,
Act-5038-38,0,1,1,38,0,1,50,25,1,1,
Act-5038-38,0,2,2,38,0,1,50,25,1,1,
Act-5038-38,0,3,3,38,0,1,50,25,1,1,
Act-5038-38,0,0,0,38,0,1,50,25,1,1,
Act-5039-39,0,1,1,39,0,1,50,25,1,1,
Act-5039-39,0,2,2,39,0,1,50,25,1,1,
Act-5039-39,0,3,3,39,0,1,50,25,1,1,
Act-5039-39,0,0,0,39,0,1,50,25,1,1,
Act-5040-40,0,1,1,40,0,1,50,25,1,1,
Act-5040-40,0,2,2,40,0,1,50,25,1,1,
Act-5040-40,0,3,3,40,0,1,50,25,1,1,
Act-5040-40,0,0,0,40,0,1,50,25,1,1,
Act-5041-41,0,1,1,41,0,1,50,25,1,1,
Act-5041-41,0,2,2,41,0,1,50,25,1,1,
Act-5041-41,0,3,3,41,0,1,50,25,1,1,
Act-5041-41,0,0,0,41,0,1,50,25,1,1,
Act-5042-42,0,1,1,42,0,1,50,25,1,1,
Act-5042-42,0,2,2,42,0,1,50,25,1,1,
Act-5042-42,0,3,3,42,0,1,50,25,1,1,
Act-5042-42,0,0,0,42,0,1,50,25,1,1,
Act-5043-43,0,1,1,43,0,1,50,25,1,1,
Act-5043-43,0,2,2,43,0,1,50,25,1,1,
Act-5043-43,0,3,3,43,0,1,50,25,1,1,
Act-5043-43,0,0,0,43,0,1,50,25,1,1,
Act-5044-44,0,1,1,44,0,1,50,25,1,1,
Act-5044-44,0,2,2,44,0,1,50,25,1,1,
Act-5044-44,0,3,3,44,0,1,50,25,1,1,
Act-5044-44,0,0,0,44,0,1,50,25,1,1,
Act-5045-45,0,1,1,45,0,1,50,25,1,1,
Act-5045-45,0,2,2,45,0,1,50,25,1,1,
Act-5045-45,0,3,3,45,0,1,50,25,1,1,
Act-5045-45,0,0,0,45,0,1,50,25,1,1,
Act-5046-46,0,1,1,46,0,1,50,25,1,1,
Act-5046-46,0,2,2,46,0,1,50,25,1,1,
Act-5046-46,0,3,3,46,0,1,50,25,1,1,
Act-5046-46,0,0,0,46,0,1,50,25,1,1,
Act-5047-47,0,1,1,47,0,1,50,25,1,1,
Act-5047-47,0,2,2,47,0,1,50,25,1,1,
Act-5047-47,0,3,3,47,0,1,50,25,1,1,
Act-5047-47,0,0,0,47,0,1,50,25,1,1,
Act-5048-48,0,1,1,48,0,1,50,25,1,1,
Act-5048-48,0,2,2,48,0,1,50,25,1,1,
Act-5048-48,0,3,3,48,0,1,50,25,1,1,
Act-5048-48,0,0,0,48,0,1,50,25,1,1,
Act-5049-49,0,1,1,49,0,1,50,25,1,1,
Act-5049-49,0,2,2,49,0,1,50,25,1,1,
Act-5049-49,0,3,3,49,0,1,50,25,1,1,
Act-5049-49,0,0,0,49,0,1,50,25,1,1,
Act-5050-50,0,1,1,50,0,1,50,25,1,1,
Act-5050-50,0,2,2,50,0,1,50,25,1,1,
Act-5050-50,0,3,3,50,0,1,50,25,1,1,
Act-5050-50,0,0,0,50,0,1,50,25,1,1,
Act-5051-51,0,1,1,51,0,1,50,25,1,1,
Act-5051-51,0,2,2,51,0,1,50,25,1,1,
Act-5051-51,0,3,3,51,0,1,50,25,1,1,
Act-5051-51,0,0,0,51,0,1,50,25,1,1,
Act-5052-52,0,1,1,52,0,1,50,25,1,1,
Act-5052-52,0,2,2,52,0,1,50,25,1,1,
Act-5052-52,0,3,3,52,0,1,50,25,1,1,
Act-5052-52,0,0,0,52,0,1,50,25,1,1,
Act-5053-53,0,1,1,53,0,1,50,25,1,1,
Act-5053-53,0,2,2,53,0,1,50,25,1,1,
Act-5053-53,0,3,3,53,0,1,50,25,1,1,
Act-5053-53,0,0,0,53,0,1,50,25,1,1,
Act-5054-54,0,1,1,54,0,1,50,25,1,1,
Act-5054-54,0,2,2,54,0,1,50,25,1,1,
Act-5054-54,0,3,3,54,0,1,50,25,1,1,
Act-5054-54,0,0,0,54,0,1,50,25,1,1,
Act-5055-55,0,1,1,55,0,1,50,25,1,1,
Act-5055-55,0,2,2,55,0,1,50,25,1,1,
Act-5055-55,0,3,3,55,0,1,50,25,1,1,
Act-5055-55,0,0,0,55,0,1,50,25,1,1,
Act-5056-56,0,1,1,56,0,1,50,25,1,1,
Act-5056-56,0,2,2,56,0,1,50,25,1,1,
Act-5056-56,0,3,3,56,0,1,50,25,1,1,
Act-5056-56,0,0,0,56,0,1,50,25,1,1,
Act-5057-57,0,1,1,57,0,1,50,25,1,1,
Act-5057-57,0,2,2,57,0,1,50,25,1,1,
Act-5057-57,0,3,3,57,0,1,50,25,1,1,
Act-5057-57,0,0,0,57,0,1,50,25,1,1,
Act-5058-58,0,1,1,58,0,1,50,25,1,1,
Act-5058-58,0,2,2,58,0,1,50,25,1,1,
Act-5058-58,0,3,3,58,0,1,50,25,1,1,
Act-5058-58,0,0,0,58,0,1,50,25,1,1,
Act-5059-59,0,1,1,59,0,1,50,25,1,1,
Act-5059-59,0,2,2,59,0,1,50,25,1,1,
Act-5059-59,0,3,3,59,0,1,50,25,1,1,
Act-5059-59,0,0,0,59,0,1,50,25,1,1,
Act-5060-60,0,1,1,60,0,1,50,25,1,1,
Act-5060-60,0,2,2,60,0,1,50,25,1,1,
Act-5060-60,0,3,3,60,0,1,50,25,1,1,
Act-5060-60,0,0,0,60,0,1,50,25,1,1,
Act-5061-61,0,1,1,61,0,1,50,25,1,1,
Act-5061-61,0,2,2,61,0,1,50,25,1,1,
Act-5061-61,0,3,3,61,0,1,50,25,1,1,
Act-5061-61,0,0,0,61,0,1,50,25,1,1,
Act-5062-62,0,1,1,62,0,1,50,25,1,1,
Act-5062-62,0,2,2,62,0,1,50,25,1,1,
Act-5062-62,0,3,3,62,0,1,50,25,1,1,
Act-5062-62,0,0,0,62,0,1,50,25,1,1,
Act-5063-63,0,1,1,63,0,1,50,25,1,1,
Act-5063-63,0,2,2,63,0,1,50,25,1,1,
Act-5063-63,0,3,3,63,0,1,50,25,1,1,
Act-5063-63,0,0,0,63,0,1,50,25,1,1,
Act-5064-64,0,1,1,64,0,1,50,25,1,1,
Act-5064-64,0,2,2,64,0,1,50,25,1,1,
Act-5064-64,0,3,3,64,0,1,50,25,1,1,
Act-5064-64,0,0,0,64,0,1,50,25,1,1,
Act-5065-65,0,1,1,65,0,1,50,25,1,1,
Act-5065-65,0,2,2,65,0,1,50,25,1,1,
Act-5065-65,0,3,3,65,0,1,50,25,1,1,
Act-5065-65,0,0,0,65,0,1,50,25,1,1,
Act-5066-66,0,1,1,66,0,1,50,25,1,1,
Act-5066-66,0,2,2,66,0,1,50,25,1,1,
Act-5066-66,0,3,3,66,0,1,50,25,1,1,
Act-5066-66,0,0,0,66,0,1,50,25,1,1,
Act-5067-67,0,1,1,67,0,1,50,25,1,1,
Act-5067-67,0,2,2,67,0,1,50,25,1,1,
Act-5067-67,0,3,3,67,0,1,50,25,1,1,
Act-5067-67,0,0,0,67,0,1,50,25,1,1,
Act-5068-68,0,1,1,68,0,1,50,25,1,1,
Act-5068-68,0,2,2,68,0,1,50,25,1,1,
Act-5068-68,0,3,3,68,0,1,50,25,1,1,
Act-5068-68,0,0,0,68,0,1,50,25,1,1,
Act-5069-69,0,1,1,69,0,1,50,25,1,1,
Act-5069-69,0,2,2,69,0,1,50,25,1,1,
Act-5069-69,0,3,3,69,0,1,50,25,1,1,
Act-5069-69,0,0,0,69,0,1,50,25,1,1,
Act-5070-70,0,1,1,70,0,1,50,25,1,1,
Act-5070-70,0,2,2,70,0,1,50,25,1,1,
Act-5070-70,0,3,3,70,0,1,50,25,1,1,
Act-5070-70,0,0,0,70,0,1,50,25,1,1,
Act-5071-71,0,1,1,71,0,1,50,25,1,1,
Act-5071-71,0,2,2,71,0,1,50,25,1,1,
Act-5071-71,0,3,3,71,0,1,50,25,1,1,
Act-5071-71,0,0,0,71,0,1,50,25,1,1,
Act-5072-72,0,1,1,72,0,1,50,25,1,1,
Act-5072-72,0,2,2,72,0,1,50,25,1,1,
Act-5072-72,0,3,3,72,0,1,50,25,1,1,
Act-5072-72,0,0,0,72,0,1,50,25,1,1,
Act-5073-73,0,1,1,73,0,1,50,25,1,1,
Act-5073-73,0,2,2,73,0,1,50,25,1,1,
Act-5073-73,0,3,3,73,0,1,50,25,1,1,
Act-5073-73,0,0,0,73,0,1,50,25,1,1,
Act-5074-74,0,1,1,74,0,1,50,25,1,1,
Act-5074-74,0,2,2,74,0,1,50,25,1,1,
Act-5074-74,0,3,3,74,0,1,50,25,1,1,
Act-5074-74,0,0,0,74,0,1,50,25,1,1,
Act-5075-75,0,1,1,75,0,1,50,25,1,1,
Act-5075-75,0,2,2,75,0,1,50,25,1,1,
Act-5075-75,0,3,3,75,0,1,50,25,1,1,
Act-5075-75,0,0,0,75,0,1,50,25,1,1,
Act-5076-76,0,1,1,76,0,1,50,25,1,1,
Act-5076-76,0,2,2,76,0,1,50,25,1,1,
Act-5076-76,0,3,3,76,0,1,50,25,1,1,
Act-5076-76,0,0,0,76,0,1,50,25,1,1,
Act-5077-77,0,1,1,77,0,1,50,25,1,1,
Act-5077-77,0,2,2,77,0,1,50,25,1,1,
Act-5077-77,0,3,3,77,0,1,50,25,1,1,
Act-5077-77,0,0,0,77,0,1,50,25,1,1,
Act-5078-78,0,1,1,78,0,1,50,25,1,1,
Act-5078-78,0,2,2,78,0,1,50,25,1,1,
Act-5078-78,0,3,3,78,0,1,50,25,1,1,
Act-5078-78,0,0,0,78,0,1,50,25,1,1,
Act-5079-79,0,1,1,79,0,1,50,25,1,1,
Act-5079-79,0,2,2,79,0,1,50,25,1,1,
Act-5079-79,0,3,3,79,0,1,50,25,1,1,
Act-5079-79,0,0,0,79,0,1,50,25,1,1,
Act-5000-80,0,1,1,80,0,1,50,25,1,1,
Act-5000-80,0,2,2,80,0,1,50,25,1,1,
Act-5000-80,0,3,3,80,0,1,50,25,1,1,
Act-5000-80,0,0,0,80,0,1,50,25,1,1,
Act-5001-81,0,1,1,81,0,1,50,25,1,1,
Act-5001-81,0,2,2,81,0,1,50,25,1,1,
Act-5001-81,0,3,3,81,0,1,50,25,1,1,
Act-5001-81,0,0,0,81,0,1,50,25,1,1,
Act-5002-82,0,1,1,82,0,1,50,25,1,1,
Act-5002-82,0,2,2,82,0,1,50,25,1,1,
Act-5002-82,0,3,3,82,0,1,50,25,1,1,
Act-5002-82,0,0,0,82,0,1,50,25,1,1,
Act-5003-83,0,1,1,83,0,1,50,25,1,1,
Act-5003-83,0,2,2,83,0,1,50,25,1,1,
Act-5003-83,0,3,3,83,0,1,50,25,1,1,
Act-5003-83,0,0,0,83,0,1,50,25,1,1,
Act-5004-84,0,1,1,84,0,1,50,25,1,1,
Act-5004-84,0,2,2,84,0,1,50,25,1,1,
Act-5004-84,0,3,3,84,0,1,50,25,1,1,
Act-5004-84,0,0,0,84,0,1,50,25,1,1,
Act-5005-85,0,1,1,85,0,1,50,25,1,1,
Act-5005-85,0,2,2,85,0,1,50,25,1,1,
Act-5005-85,0,3,3,85,0,1,50,25,1,1,
Act-5005-85,0,0,0,85,0,1,50,25,1,1,
Act-5006-86,0,1,1,86,0,1,50,25,1,1,
Act-5006-86,0,2,2,86,0,1,50,25,1,1,
Act-5006-86,0,3,3,86,0,1,50,25,1,1,
Act-5006-86,0,0,0,86,0,1,50,25,1,1,
Act-5007-87,0,1,1,87,0,1,50,25,1,1,
Act-5007-87,0,2,2,87,0,1,50,25,1,1,
Act-5007-87,0,3,3,87,0,1,50,25,1,1,
Act-5007-87,0,0,0,87,0,1,50,25,1,1,
Act-5008-88,0,1,1,88,0,1,50,25,1,1,
Act-5008-88,0,2,2,88,0,1,50,25,1,1,
Act-5008-88,0,3,3,88,0,1,50,25,1,1,
Act-5008-88,0,0,0,88,0,1,50,25,1,1,
Act-5009-89,0,1,1,89,0,1,50,25,1,1,
Act-5009-89,0,2,2,89,0,1,50,25,1,1,
Act-5009-89,0,3,3,89,0,1,50,25,1,1,
Act-5009-89,0,0,0,89,0,1,50,25,1,1,
Act-5010-90,0,1,1,90,0,1,50,25,1,1,
Act-5010-90,0,2,2,90,0,1,50,25,1,1,
Act-5010-90,0,3,3,90,0,1,50,25,1,1,
Act-5010-90,0,0,0,90,0,1,50,25,1,1,
Act-5011-91,0,1,1,91,0,1,50,25,1,1,
Act-5011-91,0,2,2,91,0,1,50,25,1,1,
Act-5011-91,0,3,3,91,0,1,50,25,1,1,
Act-5011-91,0,0,0,91,0,1,50,25,1,1,
Act-5012-92,0,1,1,92,0,1,50,25,1,1,
Act-5012-92,0,2,2,92,0,1,50,25,1,1,
Act-5012-92,0,3,3,92,0,1,50,25,1,1,
Act-5012-92,0,0,0,92,0,1,50,25,1,1,
Act-5013-93,0,1,1,93,0,1,50,25,1,1,
Act-5013-93,0,2,2,93,0,1,50,25,1,1,
Act-5013-93,0,3,3,93,0,1,50,25,1,1,
Act-5013-93,0,0,0,93,0,1,50,25,1,1,
Act-5014-94,0,1,1,94,0,1,50,25,1,1,
Act-5014-94,0,2,2,94,0,1,50,25,1,1,
Act-5014-94,0,3,3,94,0,1,50,25,1,1,
Act-5014-94,0,0,0,94,0,1,50,25,1,1,
Act-5015-95,0,1,1,95,0,1,50,25,1,1,
Act-5015-95,0,2,2,95,0,1,50,25,1,1,
Act-5015-95,0,3,3,95,0,1,50,25,1,1,
Act-5015-95,0,0,0,95,0,1,50,25,1,1,
Act-5016-96,0,1,1,96,0,1,50,25,1,1,
Act-5016-96,0,2,2,96,0,1,50,25,1,1,
Act-5016-96,0,3,3,96,0,1,50,25,1,1,
Act-5016-96,0,0,0,96,0,1,50,25,1,1,
Act-5017-97,0,1,1,97,0,1,50,25,1,1,
Act-5017-97,0,2,2,97,0,1,50,25,1,1,
Act-5017-97,0,3,3,97,0,1,50,25,1,1,
Act-5017-97,0,0,0,97,0,1,50,25,1,1,
Act-5018-98,0,1,1,98,0,1,50,25,1,1,
Act-5018-98,0,2,2,98,0,1,50,25,1,1,
Act-5018-98,0,3,3,98,0,1,50,25,1,1,
Act-5018-98,0,0,0,98,0,1,50,25,1,1,
Act-5019-99,0,1,1,99,0,1,50,25,1,1,
Act-5019-99,0,2,2,99,0,1,50,25,1,1,
Act-5019-99,0,3,3,99,0,1,50,25,1,1,
Act-5019-99,0,0,0,99,0,1,50,25,1,1,
Act-5020-100,0,1,1,100,0,1,50,25,1,1,
Act-5020-100,0,2,2,100,0,1,50,25,1,1,
Act-5020-100,0,3,3,100,0,1,50,25,1,1,
Act-5020-100,0,0,0,100,0,1,50,25,1,1,
Act-5021-101,0,1,1,101,0,1,50,25,1,1,
Act-5021-101,0,2,2,101,0,1,50,25,1,1,
Act-5021-101,0,3,3,101,0,1,50,25,1,1,
Act-5021-101,0,0,0,101,0,1,50,25,1,1,
Act-5022-102,0,1,1,102,0,1,50,25,1,1,
Act-5022-102,0,2,2,102,0,1,50,25,1,1,
Act-5022-102,0,3,3,102,0,1,50,25,1,1,
Act-5022-102,0,0,0,102,0,1,50,25,1,1,
Act-5023-103,0,1,1,103,0,1,50,25,1,1,
Act-5023-103,0,2,2,103,0,1,50,25,1,1,
Act-5023-103,0,3,3,103,0,1,50,25,1,1,
Act-5023-103,0,0,0,103,0,1,50,25,1,1,
Act-5024-104,0,1,1,104,0,1,50,25,1,1,
Act-5024-104,0,2,2,104,0,1,50,25,1,1,
Act-5024-104,0,3,3,104,0,1,50,25,1,1,
Act-5024-104,0,0,0,104,0,1,50,25,1,1,
Act-5025-105,0,1,1,105,0,1,50,25,1,1,
Act-5025-105,0,2,2,105,0,1,50,25,1,1,
Act-5025-105,0,3,3,105,0,1,50,25,1,1,
Act-5025-105,0,0,0,105,0,1,50,25,1,1,
Act-5026-106,0,1,1,106,0,1,50,25,1,1,
Act-5026-106,0,2,2,106,0,1,50,25,1,1,
Act-5026-106,0,3,3,106,0,1,50,25,1,1,
Act-5026-106,0,0,0,106,0,1,50,25,1,1,
Act-5027-107,0,1,1,107,0,1,50,25,1,1,
Act-5027-107,0,2,2,107,0,1,50,25,1,1,
Act-5027-107,0,3,3,107,0,1,50,25,1,1,
Act-5027-107,0,0,0,107,0,1,50,25,1,1,
Act-5028-108,0,1,1,108,0,1,50,25,1,1,
Act-5028-108,0,2,2,108,0,1,50,25,1,1,
Act-5028-108,0,3,3,108,0,1,50,25,1,1,
Act-5028-108,0,0,0,108,0,1,50,25,1,1,
Act-5029-109,0,1,1,109,0,1,50,25,1,1,
Act-5029-109,0,2,2,109,0,1,50,25,1,1,
Act-5029-109,0,3,3,109,0,1,50,25,1,1,
Act-5029-109,0,0,0,109,0,1,50,25,1,1,
Act-5030-110,0,1,1,110,0,1,50,25,1,1,
Act-5030-110,0,2,2,110,0,1,50,25,1,1,
Act-5030-110,0,3,3,110,0,1,50,25,1,1,
Act-5030-110,0,0,0,110,0,1,50,25,1,1,
Act-5031-111,0,1,1,111,0,1,50,25,1,1,
Act-5031-111,0,2,2,111,0,1,50,25,1,1,
Act-5031-111,0,3,3,111,0,1,50,25,1,1,
Act-5031-111,0,0,0,111,0,1,50,25,1,1,
Act-5032-112,0,1,1,112,0,1,50,25,1,1,
Act-5032-112,0,2,2,112,0,1,50,25,1,1,
Act-5032-112,0,3,3,112,0,1,50,25,1,1,
Act-5032-112,0,0,0,112,0,1,50,25,1,1,
Act-5033-113,0,1,1,113,0,1,50,25,1,1,
Act-5033-113,0,2,2,113,0,1,50,25,1,1,
Act-5033-113,0,3,3,113,0,1,50,25,1,1,
Act-5033-113,0,0,0,113,0,1,50,25,1,1,
Act-5034-114,0,1,1,114,0,1,50,25,1,1,
Act-5034-114,0,2,2,114,0,1,50,25,1,1,
Act-5034-114,0,3,3,114,0,1,50,25,1,1,
Act-5034-114,0,0,0,114,0,1,50,25,1,1,
Act-5035-115,0,1,1,115,0,1,50,25,1,1,
Act-5035-115,0,2,2,115,0,1,50,25,1,1,
Act-5035-115,0,3,3,115,0,1,50,25,1,1,
Act-5035-115,0,0,0,115,0,1,50,25,1,1,
Act-5036-116,0,1,1,116,0,1,50,25,1,1,
Act-5036-116,0,2,2,116,0,1,50,25,1,1,
Act-5036-116,0,3,3,116,0,1,50,25,1,1,
Act-5036-116,0,0,0,116,0,1,50,25,1,1,
Act-5037-117,0,1,1,117,0,1,50,25,1,1,
Act-5037-117,0,2,2,117,0,1,50,25,1,1,
Act-5037-117,0,3,3,117,0,1,50,25,1,1,
Act-5037-117,0,0,0,117,0,1,50,25,1,1,
Act-5038-118,0,1,1,118,0,1,50,25,1,1,
Act-5038-118,0,2,2,118,0,1,50,25,1,1,
