Activity.[ActivityKey],Transport.[TransportKey],Product.[ProductKey],Resource.[ResourceKey],Location.[LocationKey],Version.[VersionKey],Capacity Category,Capacity Consumption Graph Association,Capacity Consumption Qty Per,Capacity Graph Priority
Act-5004-4,0,0,Res-4-O,4,0,O,1,1,1
Act-5005-5,0,1,Res-5005,5005,0,I,1,1,1
Act-5005-5,0,1,Res-5005-I,5005,0,I,1,1,1
Act-5005-5,0,1,Res-5005-5,5,0,,1,1,1
Act-5005-5,0,1,Res-5-O,5,0,O,1,1,1
Act-5005-5,0,2,Res-5005,5005,0,I,1,1,1
Act-5005-5,0,2,Res-5005-I,5005,0,I,1,1,1
Act-5005-5,0,2,Res-5005-5,5,0,,1,1,1
Act-5005-5,0,2,Res-5-O,5,0,O,1,1,1
Act-5005-5,0,3,Res-5005,5005,0,I,1,1,1
Act-5005-5,0,3,Res-5005-I,5005,0,I,1,1,1
Act-5005-5,0,3,Res-5005-5,5,0,,1,1,1
Act-5005-5,0,3,Res-5-O,5,0,O,1,1,1
Act-5005-5,0,0,Res-5005,5005,0,I,1,1,1
Act-5005-5,0,0,Res-5005-I,5005,0,I,1,1,1
Act-5005-5,0,0,Res-5005-5,5,0,,1,1,1
Act-5005-5,0,0,Res-5-O,5,0,O,1,1,1
Act-5006-6,0,1,Res-5006,5006,0,I,1,1,1
Act-5006-6,0,1,Res-5006-I,5006,0,I,1,1,1
Act-5006-6,0,1,Res-5006-6,6,0,,1,1,1
Act-5006-6,0,1,Res-6-O,6,0,O,1,1,1
Act-5006-6,0,2,Res-5006,5006,0,I,1,1,1
Act-5006-6,0,2,Res-5006-I,5006,0,I,1,1,1
Act-5006-6,0,2,Res-5006-6,6,0,,1,1,1
Act-5006-6,0,2,Res-6-O,6,0,O,1,1,1
Act-5006-6,0,3,Res-5006,5006,0,I,1,1,1
Act-5006-6,0,3,Res-5006-I,5006,0,I,1,1,1
Act-5006-6,0,3,Res-5006-6,6,0,,1,1,1
Act-5006-6,0,3,Res-6-O,6,0,O,1,1,1
Act-5006-6,0,0,Res-5006,5006,0,I,1,1,1
Act-5006-6,0,0,Res-5006-I,5006,0,I,1,1,1
Act-5006-6,0,0,Res-5006-6,6,0,,1,1,1
Act-5006-6,0,0,Res-6-O,6,0,O,1,1,1
Act-5007-7,0,1,Res-5007,5007,0,I,1,1,1
Act-5007-7,0,1,Res-5007-I,5007,0,I,1,1,1
Act-5007-7,0,1,Res-5007-7,7,0,,1,1,1
Act-5007-7,0,1,Res-7-O,7,0,O,1,1,1
Act-5007-7,0,2,Res-5007,5007,0,I,1,1,1
Act-5007-7,0,2,Res-5007-I,5007,0,I,1,1,1
Act-5007-7,0,2,Res-5007-7,7,0,,1,1,1
Act-5007-7,0,2,Res-7-O,7,0,O,1,1,1
Act-5007-7,0,3,Res-5007,5007,0,I,1,1,1
Act-5007-7,0,3,Res-5007-I,5007,0,I,1,1,1
Act-5007-7,0,3,Res-5007-7,7,0,,1,1,1
Act-5007-7,0,3,Res-7-O,7,0,O,1,1,1
Act-5007-7,0,0,Res-5007,5007,0,I,1,1,1
Act-5007-7,0,0,Res-5007-I,5007,0,I,1,1,1
Act-5007-7,0,0,Res-5007-7,7,0,,1,1,1
Act-5007-7,0,0,Res-7-O,7,0,O,1,1,1
Act-5008-8,0,1,Res-5008,5008,0,I,1,1,1
Act-5008-8,0,1,Res-5008-I,5008,0,I,1,1,1
Act-5008-8,0,1,Res-5008-8,8,0,,1,1,1
Act-5008-8,0,1,Res-8-O,8,0,O,1,1,1
Act-5008-8,0,2,Res-5008,5008,0,I,1,1,1
Act-5008-8,0,2,Res-5008-I,5008,0,I,1,1,1
Act-5008-8,0,2,Res-5008-8,8,0,,1,1,1
Act-5008-8,0,2,Res-8-O,8,0,O,1,1,1
Act-5008-8,0,3,Res-5008,5008,0,I,1,1,1
Act-5008-8,0,3,Res-5008-I,5008,0,I,1,1,1
Act-5008-8,0,3,Res-5008-8,8,0,,1,1,1
Act-5008-8,0,3,Res-8-O,8,0,O,1,1,1
Act-5008-8,0,0,Res-5008,5008,0,I,1,1,1
Act-5008-8,0,0,Res-5008-I,5008,0,I,1,1,1
Act-5008-8,0,0,Res-5008-8,8,0,,1,1,1
Act-5008-8,0,0,Res-8-O,8,0,O,1,1,1
Act-5009-9,0,1,Res-5009,5009,0,I,1,1,1
Act-5009-9,0,1,Res-5009-I,5009,0,I,1,1,1
Act-5009-9,0,1,Res-5009-9,9,0,,1,1,1
Act-5009-9,0,1,Res-9-O,9,0,O,1,1,1
Act-5009-9,0,2,Res-5009,5009,0,I,1,1,1
Act-5009-9,0,2,Res-5009-I,5009,0,I,1,1,1
Act-5009-9,0,2,Res-5009-9,9,0,,1,1,1
Act-5009-9,0,2,Res-9-O,9,0,O,1,1,1
Act-5009-9,0,3,Res-5009,5009,0,I,1,1,1
Act-5009-9,0,3,Res-5009-I,5009,0,I,1,1,1
Act-5009-9,0,3,Res-5009-9,9,0,,1,1,1
Act-5009-9,0,3,Res-9-O,9,0,O,1,1,1
Act-5009-9,0,0,Res-5009,5009,0,I,1,1,1
Act-5009-9,0,0,Res-5009-I,5009,0,I,1,1,1
Act-5009-9,0,0,Res-5009-9,9,0,,1,1,1
Act-5009-9,0,0,Res-9-O,9,0,O,1,1,1
Act-5010-10,0,1,Res-5010,5010,0,I,1,1,1
Act-5010-10,0,1,Res-5010-I,5010,0,I,1,1,1
Act-5010-10,0,1,Res-5010-10,10,0,,1,1,1
Act-5010-10,0,1,Res-10-O,10,0,O,1,1,1
Act-5010-10,0,2,Res-5010,5010,0,I,1,1,1
Act-5010-10,0,2,Res-5010-I,5010,0,I,1,1,1
Act-5010-10,0,2,Res-5010-10,10,0,,1,1,1
Act-5010-10,0,2,Res-10-O,10,0,O,1,1,1
Act-5010-10,0,3,Res-5010,5010,0,I,1,1,1
Act-5010-10,0,3,Res-5010-I,5010,0,I,1,1,1
Act-5010-10,0,3,Res-5010-10,10,0,,1,1,1
Act-5010-10,0,3,Res-10-O,10,0,O,1,1,1
Act-5010-10,0,0,Res-5010,5010,0,I,1,1,1
Act-5010-10,0,0,Res-5010-I,5010,0,I,1,1,1
Act-5010-10,0,0,Res-5010-10,10,0,,1,1,1
Act-5010-10,0,0,Res-10-O,10,0,O,1,1,1
Act-5011-11,0,1,Res-5011,5011,0,I,1,1,1
Act-5011-11,0,1,Res-5011-I,5011,0,I,1,1,1
Act-5011-11,0,1,Res-5011-11,11,0,,1,1,1
Act-5011-11,0,1,Res-11-O,11,0,O,1,1,1
Act-5011-11,0,2,Res-5011,5011,0,I,1,1,1
Act-5011-11,0,2,Res-5011-I,5011,0,I,1,1,1
Act-5011-11,0,2,Res-5011-11,11,0,,1,1,1
Act-5011-11,0,2,Res-11-O,11,0,O,1,1,1
Act-5011-11,0,3,Res-5011,5011,0,I,1,1,1
Act-5011-11,0,3,Res-5011-I,5011,0,I,1,1,1
Act-5011-11,0,3,Res-5011-11,11,0,,1,1,1
Act-5011-11,0,3,Res-11-O,11,0,O,1,1,1
Act-5011-11,0,0,Res-5011,5011,0,I,1,1,1
Act-5011-11,0,0,Res-5011-I,5011,0,I,1,1,1
Act-5011-11,0,0,Res-5011-11,11,0,,1,1,1
Act-5011-11,0,0,Res-11-O,11,0,O,1,1,1
Act-5012-12,0,1,Res-5012,5012,0,I,1,1,1
Act-5012-12,0,1,Res-5012-I,5012,0,I,1,1,1
Act-5012-12,0,1,Res-5012-12,12,0,,1,1,1
Act-5012-12,0,1,Res-12-O,12,0,O,1,1,1
Act-5012-12,0,2,Res-5012,5012,0,I,1,1,1
Act-5012-12,0,2,Res-5012-I,5012,0,I,1,1,1
Act-5012-12,0,2,Res-5012-12,12,0,,1,1,1
Act-5012-12,0,2,Res-12-O,12,0,O,1,1,1
Act-5012-12,0,3,Res-5012,5012,0,I,1,1,1
Act-5012-12,0,3,Res-5012-I,5012,0,I,1,1,1
Act-5012-12,0,3,Res-5012-12,12,0,,1,1,1
Act-5012-12,0,3,Res-12-O,12,0,O,1,1,1
Act-5012-12,0,0,Res-5012,5012,0,I,1,1,1
Act-5012-12,0,0,Res-5012-I,5012,0,I,1,1,1
Act-5012-12,0,0,Res-5012-12,12,0,,1,1,1
Act-5012-12,0,0,Res-12-O,12,0,O,1,1,1
Act-5013-13,0,1,Res-5013,5013,0,I,1,1,1
Act-5013-13,0,1,Res-5013-I,5013,0,I,1,1,1
Act-5013-13,0,1,Res-5013-13,13,0,,1,1,1
Act-5013-13,0,1,Res-13-O,13,0,O,1,1,1
Act-5013-13,0,2,Res-5013,5013,0,I,1,1,1
Act-5013-13,0,2,Res-5013-I,5013,0,I,1,1,1
Act-5013-13,0,2,Res-5013-13,13,0,,1,1,1
Act-5013-13,0,2,Res-13-O,13,0,O,1,1,1
Act-5013-13,0,3,Res-5013,5013,0,I,1,1,1
Act-5013-13,0,3,Res-5013-I,5013,0,I,1,1,1
Act-5013-13,0,3,Res-5013-13,13,0,,1,1,1
Act-5013-13,0,3,Res-13-O,13,0,O,1,1,1
Act-5013-13,0,0,Res-5013,5013,0,I,1,1,1
Act-5013-13,0,0,Res-5013-I,5013,0,I,1,1,1
Act-5013-13,0,0,Res-5013-13,13,0,,1,1,1
Act-5013-13,0,0,Res-13-O,13,0,O,1,1,1
Act-5014-14,0,1,Res-5014,5014,0,I,1,1,1
Act-5014-14,0,1,Res-5014-I,5014,0,I,1,1,1
Act-5014-14,0,1,Res-5014-14,14,0,,1,1,1
Act-5014-14,0,1,Res-14-O,14,0,O,1,1,1
Act-5014-14,0,2,Res-5014,5014,0,I,1,1,1
Act-5014-14,0,2,Res-5014-I,5014,0,I,1,1,1
Act-5014-14,0,2,Res-5014-14,14,0,,1,1,1
Act-5014-14,0,2,Res-14-O,14,0,O,1,1,1
Act-5014-14,0,3,Res-5014,5014,0,I,1,1,1
Act-5014-14,0,3,Res-5014-I,5014,0,I,1,1,1
Act-5014-14,0,3,Res-5014-14,14,0,,1,1,1
Act-5014-14,0,3,Res-14-O,14,0,O,1,1,1
Act-5014-14,0,0,Res-5014,5014,0,I,1,1,1
Act-5014-14,0,0,Res-5014-I,5014,0,I,1,1,1
Act-5014-14,0,0,Res-5014-14,14,0,,1,1,1
Act-5014-14,0,0,Res-14-O,14,0,O,1,1,1
Act-5015-15,0,1,Res-5015,5015,0,I,1,1,1
Act-5015-15,0,1,Res-5015-I,5015,0,I,1,1,1
Act-5015-15,0,1,Res-5015-15,15,0,,1,1,1
Act-5015-15,0,1,Res-15-O,15,0,O,1,1,1
Act-5015-15,0,2,Res-5015,5015,0,I,1,1,1
Act-5015-15,0,2,Res-5015-I,5015,0,I,1,1,1
Act-5015-15,0,2,Res-5015-15,15,0,,1,1,1
Act-5015-15,0,2,Res-15-O,15,0,O,1,1,1
Act-5015-15,0,3,Res-5015,5015,0,I,1,1,1
Act-5015-15,0,3,Res-5015-I,5015,0,I,1,1,1
Act-5015-15,0,3,Res-5015-15,15,0,,1,1,1
Act-5015-15,0,3,Res-15-O,15,0,O,1,1,1
Act-5015-15,0,0,Res-5015,5015,0,I,1,1,1
Act-5015-15,0,0,Res-5015-I,5015,0,I,1,1,1
Act-5015-15,0,0,Res-5015-15,15,0,,1,1,1
Act-5015-15,0,0,Res-15-O,15,0,O,1,1,1
Act-5016-16,0,1,Res-5016,5016,0,I,1,1,1
Act-5016-16,0,1,Res-5016-I,5016,0,I,1,1,1
Act-5016-16,0,1,Res-5016-16,16,0,,1,1,1
Act-5016-16,0,1,Res-16-O,16,0,O,1,1,1
Act-5016-16,0,2,Res-5016,5016,0,I,1,1,1
Act-5016-16,0,2,Res-5016-I,5016,0,I,1,1,1
Act-5016-16,0,2,Res-5016-16,16,0,,1,1,1
Act-5016-16,0,2,Res-16-O,16,0,O,1,1,1
Act-5016-16,0,3,Res-5016,5016,0,I,1,1,1
Act-5016-16,0,3,Res-5016-I,5016,0,I,1,1,1
Act-5016-16,0,3,Res-5016-16,16,0,,1,1,1
Act-5016-16,0,3,Res-16-O,16,0,O,1,1,1
Act-5016-16,0,0,Res-5016,5016,0,I,1,1,1
Act-5016-16,0,0,Res-5016-I,5016,0,I,1,1,1
Act-5016-16,0,0,Res-5016-16,16,0,,1,1,1
Act-5016-16,0,0,Res-16-O,16,0,O,1,1,1
Act-5017-17,0,1,Res-5017,5017,0,I,1,1,1
Act-5017-17,0,1,Res-5017-I,5017,0,I,1,1,1
Act-5017-17,0,1,Res-5017-17,17,0,,1,1,1
Act-5017-17,0,1,Res-17-O,17,0,O,1,1,1
Act-5017-17,0,2,Res-5017,5017,0,I,1,1,1
Act-5017-17,0,2,Res-5017-I,5017,0,I,1,1,1
Act-5017-17,0,2,Res-5017-17,17,0,,1,1,1
Act-5017-17,0,2,Res-17-O,17,0,O,1,1,1
Act-5017-17,0,3,Res-5017,5017,0,I,1,1,1
Act-5017-17,0,3,Res-5017-I,5017,0,I,1,1,1
Act-5017-17,0,3,Res-5017-17,17,0,,1,1,1
Act-5017-17,0,3,Res-17-O,17,0,O,1,1,1
Act-5017-17,0,0,Res-5017,5017,0,I,1,1,1
Act-5017-17,0,0,Res-5017-I,5017,0,I,1,1,1
Act-5017-17,0,0,Res-5017-17,17,0,,1,1,1
Act-5017-17,0,0,Res-17-O,17,0,O,1,1,1
Act-5018-18,0,1,Res-5018,5018,0,I,1,1,1
Act-5018-18,0,1,Res-5018-I,5018,0,I,1,1,1
Act-5018-18,0,1,Res-5018-18,18,0,,1,1,1
Act-5018-18,0,1,Res-18-O,18,0,O,1,1,1
Act-5018-18,0,2,Res-5018,5018,0,I,1,1,1
Act-5018-18,0,2,Res-5018-I,5018,0,I,1,1,1
Act-5018-18,0,2,Res-5018-18,18,0,,1,1,1
Act-5018-18,0,2,Res-18-O,18,0,O,1,1,1
Act-5018-18,0,3,Res-5018,5018,0,I,1,1,1
Act-5018-18,0,3,Res-5018-I,5018,0,I,1,1,1
Act-5018-18,0,3,Res-5018-18,18,0,,1,1,1
Act-5018-18,0,3,Res-18-O,18,0,O,1,1,1
Act-5018-18,0,0,Res-5018,5018,0,I,1,1,1
Act-5018-18,0,0,Res-5018-I,5018,0,I,1,1,1
Act-5018-18,0,0,Res-5018-18,18,0,,1,1,1
Act-5018-18,0,0,Res-18-O,18,0,O,1,1,1
Act-5019-19,0,1,Res-5019,5019,0,I,1,1,1
Act-5019-19,0,1,Res-5019-I,5019,0,I,1,1,1
Act-5019-19,0,1,Res-5019-19,19,0,,1,1,1
Act-5019-19,0,1,Res-19-O,19,0,O,1,1,1
Act-5019-19,0,2,Res-5019,5019,0,I,1,1,1
Act-5019-19,0,2,Res-5019-I,5019,0,I,1,1,1
Act-5019-19,0,2,Res-5019-19,19,0,,1,1,1
Act-5019-19,0,2,Res-19-O,19,0,O,1,1,1
Act-5019-19,0,3,Res-5019,5019,0,I,1,1,1
Act-5019-19,0,3,Res-5019-I,5019,0,I,1,1,1
Act-5019-19,0,3,Res-5019-19,19,0,,1,1,1
Act-5019-19,0,3,Res-19-O,19,0,O,1,1,1
Act-5019-19,0,0,Res-5019,5019,0,I,1,1,1
Act-5019-19,0,0,Res-5019-I,5019,0,I,1,1,1
Act-5019-19,0,0,Res-5019-19,19,0,,1,1,1
Act-5019-19,0,0,Res-19-O,19,0,O,1,1,1
Act-5020-20,0,1,Res-5020,5020,0,I,1,1,1
Act-5020-20,0,1,Res-5020-I,5020,0,I,1,1,1
Act-5020-20,0,1,Res-5020-20,20,0,,1,1,1
Act-5020-20,0,1,Res-20-O,20,0,O,1,1,1
Act-5020-20,0,2,Res-5020,5020,0,I,1,1,1
Act-5020-20,0,2,Res-5020-I,5020,0,I,1,1,1
Act-5020-20,0,2,Res-5020-20,20,0,,1,1,1
Act-5020-20,0,2,Res-20-O,20,0,O,1,1,1
Act-5020-20,0,3,Res-5020,5020,0,I,1,1,1
Act-5020-20,0,3,Res-5020-I,5020,0,I,1,1,1
Act-5020-20,0,3,Res-5020-20,20,0,,1,1,1
Act-5020-20,0,3,Res-20-O,20,0,O,1,1,1
Act-5020-20,0,0,Res-5020,5020,0,I,1,1,1
Act-5020-20,0,0,Res-5020-I,5020,0,I,1,1,1
Act-5020-20,0,0,Res-5020-20,20,0,,1,1,1
Act-5020-20,0,0,Res-20-O,20,0,O,1,1,1
Act-5021-21,0,1,Res-5021,5021,0,I,1,1,1
Act-5021-21,0,1,Res-5021-I,5021,0,I,1,1,1
Act-5021-21,0,1,Res-5021-21,21,0,,1,1,1
Act-5021-21,0,1,Res-21-O,21,0,O,1,1,1
Act-5021-21,0,2,Res-5021,5021,0,I,1,1,1
Act-5021-21,0,2,Res-5021-I,5021,0,I,1,1,1
Act-5021-21,0,2,Res-5021-21,21,0,,1,1,1
Act-5021-21,0,2,Res-21-O,21,0,O,1,1,1
Act-5021-21,0,3,Res-5021,5021,0,I,1,1,1
Act-5021-21,0,3,Res-5021-I,5021,0,I,1,1,1
Act-5021-21,0,3,Res-5021-21,21,0,,1,1,1
Act-5021-21,0,3,Res-21-O,21,0,O,1,1,1
Act-5021-21,0,0,Res-5021,5021,0,I,1,1,1
Act-5021-21,0,0,Res-5021-I,5021,0,I,1,1,1
Act-5021-21,0,0,Res-5021-21,21,0,,1,1,1
Act-5021-21,0,0,Res-21-O,21,0,O,1,1,1
Act-5022-22,0,1,Res-5022,5022,0,I,1,1,1
Act-5022-22,0,1,Res-5022-I,5022,0,I,1,1,1
Act-5022-22,0,1,Res-5022-22,22,0,,1,1,1
Act-5022-22,0,1,Res-22-O,22,0,O,1,1,1
Act-5022-22,0,2,Res-5022,5022,0,I,1,1,1
Act-5022-22,0,2,Res-5022-I,5022,0,I,1,1,1
Act-5022-22,0,2,Res-5022-22,22,0,,1,1,1
Act-5022-22,0,2,Res-22-O,22,0,O,1,1,1
Act-5022-22,0,3,Res-5022,5022,0,I,1,1,1
Act-5022-22,0,3,Res-5022-I,5022,0,I,1,1,1
Act-5022-22,0,3,Res-5022-22,22,0,,1,1,1
Act-5022-22,0,3,Res-22-O,22,0,O,1,1,1
Act-5022-22,0,0,Res-5022,5022,0,I,1,1,1
Act-5022-22,0,0,Res-5022-I,5022,0,I,1,1,1
Act-5022-22,0,0,Res-5022-22,22,0,,1,1,1
Act-5022-22,0,0,Res-22-O,22,0,O,1,1,1
Act-5023-23,0,1,Res-5023,5023,0,I,1,1,1
Act-5023-23,0,1,Res-5023-I,5023,0,I,1,1,1
Act-5023-23,0,1,Res-5023-23,23,0,,1,1,1
Act-5023-23,0,1,Res-23-O,23,0,O,1,1,1
Act-5023-23,0,2,Res-5023,5023,0,I,1,1,1
Act-5023-23,0,2,Res-5023-I,5023,0,I,1,1,1
Act-5023-23,0,2,Res-5023-23,23,0,,1,1,1
Act-5023-23,0,2,Res-23-O,23,0,O,1,1,1
Act-5023-23,0,3,Res-5023,5023,0,I,1,1,1
Act-5023-23,0,3,Res-5023-I,5023,0,I,1,1,1
Act-5023-23,0,3,Res-5023-23,23,0,,1,1,1
Act-5023-23,0,3,Res-23-O,23,0,O,1,1,1
Act-5023-23,0,0,Res-5023,5023,0,I,1,1,1
Act-5023-23,0,0,Res-5023-I,5023,0,I,1,1,1
Act-5023-23,0,0,Res-5023-23,23,0,,1,1,1
Act-5023-23,0,0,Res-23-O,23,0,O,1,1,1
Act-5024-24,0,1,Res-5024,5024,0,I,1,1,1
Act-5024-24,0,1,Res-5024-I,5024,0,I,1,1,1
Act-5024-24,0,1,Res-5024-24,24,0,,1,1,1
Act-5024-24,0,1,Res-24-O,24,0,O,1,1,1
Act-5024-24,0,2,Res-5024,5024,0,I,1,1,1
Act-5024-24,0,2,Res-5024-I,5024,0,I,1,1,1
Act-5024-24,0,2,Res-5024-24,24,0,,1,1,1
Act-5024-24,0,2,Res-24-O,24,0,O,1,1,1
Act-5024-24,0,3,Res-5024,5024,0,I,1,1,1
Act-5024-24,0,3,Res-5024-I,5024,0,I,1,1,1
Act-5024-24,0,3,Res-5024-24,24,0,,1,1,1
Act-5024-24,0,3,Res-24-O,24,0,O,1,1,1
Act-5024-24,0,0,Res-5024,5024,0,I,1,1,1
Act-5024-24,0,0,Res-5024-I,5024,0,I,1,1,1
Act-5024-24,0,0,Res-5024-24,24,0,,1,1,1
Act-5024-24,0,0,Res-24-O,24,0,O,1,1,1
Act-5025-25,0,1,Res-5025,5025,0,I,1,1,1
Act-5025-25,0,1,Res-5025-I,5025,0,I,1,1,1
Act-5025-25,0,1,Res-5025-25,25,0,,1,1,1
Act-5025-25,0,1,Res-25-O,25,0,O,1,1,1
Act-5025-25,0,2,Res-5025,5025,0,I,1,1,1
Act-5025-25,0,2,Res-5025-I,5025,0,I,1,1,1
Act-5025-25,0,2,Res-5025-25,25,0,,1,1,1
Act-5025-25,0,2,Res-25-O,25,0,O,1,1,1
Act-5025-25,0,3,Res-5025,5025,0,I,1,1,1
Act-5025-25,0,3,Res-5025-I,5025,0,I,1,1,1
Act-5025-25,0,3,Res-5025-25,25,0,,1,1,1
Act-5025-25,0,3,Res-25-O,25,0,O,1,1,1
Act-5025-25,0,0,Res-5025,5025,0,I,1,1,1
Act-5025-25,0,0,Res-5025-I,5025,0,I,1,1,1
Act-5025-25,0,0,Res-5025-25,25,0,,1,1,1
Act-5025-25,0,0,Res-25-O,25,0,O,1,1,1
Act-5026-26,0,1,Res-5026,5026,0,I,1,1,1
Act-5026-26,0,1,Res-5026-I,5026,0,I,1,1,1
Act-5026-26,0,1,Res-5026-26,26,0,,1,1,1
Act-5026-26,0,1,Res-26-O,26,0,O,1,1,1
Act-5026-26,0,2,Res-5026,5026,0,I,1,1,1
Act-5026-26,0,2,Res-5026-I,5026,0,I,1,1,1
Act-5026-26,0,2,Res-5026-26,26,0,,1,1,1
Act-5026-26,0,2,Res-26-O,26,0,O,1,1,1
Act-5026-26,0,3,Res-5026,5026,0,I,1,1,1
Act-5026-26,0,3,Res-5026-I,5026,0,I,1,1,1
Act-5026-26,0,3,Res-5026-26,26,0,,1,1,1
Act-5026-26,0,3,Res-26-O,26,0,O,1,1,1
Act-5026-26,0,0,Res-5026,5026,0,I,1,1,1
Act-5026-26,0,0,Res-5026-I,5026,0,I,1,1,1
Act-5026-26,0,0,Res-5026-26,26,0,,1,1,1
Act-5026-26,0,0,Res-26-O,26,0,O,1,1,1
Act-5027-27,0,1,Res-5027,5027,0,I,1,1,1
Act-5027-27,0,1,Res-5027-I,5027,0,I,1,1,1
Act-5027-27,0,1,Res-5027-27,27,0,,1,1,1
Act-5027-27,0,1,Res-27-O,27,0,O,1,1,1
Act-5027-27,0,2,Res-5027,5027,0,I,1,1,1
