Resource.[ResourceKey],Resource.[Resource],Resource.[ResourceSubGroupKey],Resource.[Resource Sub Group],Resource.[ResourceGroupKey],Resource.[Resource Group]
10052,Res-52-O,0,SubGroup-0,0,Group-0
10053,Res-53-O,0,SubGroup-0,0,Group-0
10054,Res-54-O,0,SubGroup-0,0,Group-0
10055,Res-55-O,0,SubGroup-0,0,Group-0
10056,Res-56-O,0,SubGroup-0,0,Group-0
10057,Res-57-O,0,SubGroup-0,0,Group-0
10058,Res-58-O,0,SubGroup-0,0,Group-0
10059,Res-59-O,0,SubGroup-0,0,Group-0
10060,Res-60-O,0,SubGroup-0,0,Group-0
10061,Res-61-O,0,SubGroup-0,0,Group-0
10062,Res-62-O,0,SubGroup-0,0,Group-0
10063,Res-63-O,0,SubGroup-0,0,Group-0
10064,Res-64-O,0,SubGroup-0,0,Group-0
10065,Res-65-O,0,SubGroup-0,0,Group-0
10066,Res-66-O,0,SubGroup-0,0,Group-0
10067,Res-67-O,0,SubGroup-0,0,Group-0
10068,Res-68-O,0,SubGroup-0,0,Group-0
10069,Res-69-O,0,SubGroup-0,0,Group-0
10070,Res-70-O,0,SubGroup-0,0,Group-0
10071,Res-71-O,0,SubGroup-0,0,Group-0
10072,Res-72-O,0,SubGroup-0,0,Group-0
10073,Res-73-O,0,SubGroup-0,0,Group-0
10074,Res-74-O,0,SubGroup-0,0,Group-0
10075,Res-75-O,0,SubGroup-0,0,Group-0
10076,Res-76-O,0,SubGroup-0,0,Group-0
10077,Res-77-O,0,SubGroup-0,0,Group-0
10078,Res-78-O,0,SubGroup-0,0,Group-0
10079,Res-79-O,0,SubGroup-0,0,Group-0
10080,Res-80-O,0,SubGroup-0,0,Group-0
10081,Res-81-O,0,SubGroup-0,0,Group-0
10082,Res-82-O,0,SubGroup-0,0,Group-0
10083,Res-83-O,0,SubGroup-0,0,Group-0
10084,Res-84-O,0,SubGroup-0,0,Group-0
10085,Res-85-O,0,SubGroup-0,0,Group-0
10086,Res-86-O,0,SubGroup-0,0,Group-0
10087,Res-87-O,0,SubGroup-0,0,Group-0
10088,Res-88-O,0,SubGroup-0,0,Group-0
10089,Res-89-O,0,SubGroup-0,0,Group-0
10090,Res-90-O,0,SubGroup-0,0,Group-0
10091,Res-91-O,0,SubGroup-0,0,Group-0
10092,Res-92-O,0,SubGroup-0,0,Group-0
10093,Res-93-O,0,SubGroup-0,0,Group-0
10094,Res-94-O,0,SubGroup-0,0,Group-0
10095,Res-95-O,0,SubGroup-0,0,Group-0
10096,Res-96-O,0,SubGroup-0,0,Group-0
10097,Res-97-O,0,SubGroup-0,0,Group-0
10098,Res-98-O,0,SubGroup-0,0,Group-0
10099,Res-99-O,0,SubGroup-0,0,Group-0
10100,Res-100-O,0,SubGroup-0,0,Group-0
10101,Res-101-O,0,SubGroup-0,0,Group-0
10102,Res-102-O,0,SubGroup-0,0,Group-0
10103,Res-103-O,0,SubGroup-0,0,Group-0
10104,Res-104-O,0,SubGroup-0,0,Group-0
10105,Res-105-O,0,SubGroup-0,0,Group-0
10106,Res-106-O,0,SubGroup-0,0,Group-0
10107,Res-107-O,0,SubGroup-0,0,Group-0
10108,Res-108-O,0,SubGroup-0,0,Group-0
10109,Res-109-O,0,SubGroup-0,0,Group-0
10110,Res-110-O,0,SubGroup-0,0,Group-0
10111,Res-111-O,0,SubGroup-0,0,Group-0
10112,Res-112-O,0,SubGroup-0,0,Group-0
10113,Res-113-O,0,SubGroup-0,0,Group-0
10114,Res-114-O,0,SubGroup-0,0,Group-0
10115,Res-115-O,0,SubGroup-0,0,Group-0
10116,Res-116-O,0,SubGroup-0,0,Group-0
10117,Res-117-O,0,SubGroup-0,0,Group-0
10118,Res-118-O,0,SubGroup-0,0,Group-0
10119,Res-119-O,0,SubGroup-0,0,Group-0
10120,Res-120-O,0,SubGroup-0,0,Group-0
10121,Res-121-O,0,SubGroup-0,0,Group-0
10122,Res-122-O,0,SubGroup-0,0,Group-0
10123,Res-123-O,0,SubGroup-0,0,Group-0
10124,Res-124-O,0,SubGroup-0,0,Group-0
10125,Res-125-O,0,SubGroup-0,0,Group-0
10126,Res-126-O,0,SubGroup-0,0,Group-0
10127,Res-127-O,0,SubGroup-0,0,Group-0
10128,Res-128-O,0,SubGroup-0,0,Group-0
10129,Res-129-O,0,SubGroup-0,0,Group-0
10130,Res-130-O,0,SubGroup-0,0,Group-0
10131,Res-131-O,0,SubGroup-0,0,Group-0
10132,Res-132-O,0,SubGroup-0,0,Group-0
10133,Res-133-O,0,SubGroup-0,0,Group-0
10134,Res-134-O,0,SubGroup-0,0,Group-0
10135,Res-135-O,0,SubGroup-0,0,Group-0
10136,Res-136-O,0,SubGroup-0,0,Group-0
10137,Res-137-O,0,SubGroup-0,0,Group-0
10138,Res-138-O,0,SubGroup-0,0,Group-0
10139,Res-139-O,0,SubGroup-0,0,Group-0
10140,Res-140-O,0,SubGroup-0,0,Group-0
10141,Res-141-O,0,SubGroup-0,0,Group-0
10142,Res-142-O,0,SubGroup-0,0,Group-0
10143,Res-143-O,0,SubGroup-0,0,Group-0
10144,Res-144-O,0,SubGroup-0,0,Group-0
10145,Res-145-O,0,SubGroup-0,0,Group-0
10146,Res-146-O,0,SubGroup-0,0,Group-0
10147,Res-147-O,0,SubGroup-0,0,Group-0
10148,Res-148-O,0,SubGroup-0,0,Group-0
10149,Res-149-O,0,SubGroup-0,0,Group-0
10150,Res-150-O,0,SubGroup-0,0,Group-0
10151,Res-151-O,0,SubGroup-0,0,Group-0
10152,Res-152-O,0,SubGroup-0,0,Group-0
10153,Res-153-O,0,SubGroup-0,0,Group-0
10154,Res-154-O,0,SubGroup-0,0,Group-0
10155,Res-155-O,0,SubGroup-0,0,Group-0
10156,Res-156-O,0,SubGroup-0,0,Group-0
10157,Res-157-O,0,SubGroup-0,0,Group-0
10158,Res-158-O,0,SubGroup-0,0,Group-0
10159,Res-159-O,0,SubGroup-0,0,Group-0
10160,Res-160-O,0,SubGroup-0,0,Group-0
10161,Res-161-O,0,SubGroup-0,0,Group-0
10162,Res-162-O,0,SubGroup-0,0,Group-0
10163,Res-163-O,0,SubGroup-0,0,Group-0
10164,Res-164-O,0,SubGroup-0,0,Group-0
10165,Res-165-O,0,SubGroup-0,0,Group-0
10166,Res-166-O,0,SubGroup-0,0,Group-0
10167,Res-167-O,0,SubGroup-0,0,Group-0
10168,Res-168-O,0,SubGroup-0,0,Group-0
10169,Res-169-O,0,SubGroup-0,0,Group-0
10170,Res-170-O,0,SubGroup-0,0,Group-0
10171,Res-171-O,0,SubGroup-0,0,Group-0
10172,Res-172-O,0,SubGroup-0,0,Group-0
10173,Res-173-O,0,SubGroup-0,0,Group-0
10174,Res-174-O,0,SubGroup-0,0,Group-0
10175,Res-175-O,0,SubGroup-0,0,Group-0
10176,Res-176-O,0,SubGroup-0,0,Group-0
10177,Res-177-O,0,SubGroup-0,0,Group-0
10178,Res-178-O,0,SubGroup-0,0,Group-0
10179,Res-179-O,0,SubGroup-0,0,Group-0
10180,Res-180-O,0,SubGroup-0,0,Group-0
10181,Res-181-O,0,SubGroup-0,0,Group-0
10182,Res-182-O,0,SubGroup-0,0,Group-0
10183,Res-183-O,0,SubGroup-0,0,Group-0
10184,Res-184-O,0,SubGroup-0,0,Group-0
10185,Res-185-O,0,SubGroup-0,0,Group-0
10186,Res-186-O,0,SubGroup-0,0,Group-0
10187,Res-187-O,0,SubGroup-0,0,Group-0
10188,Res-188-O,0,SubGroup-0,0,Group-0
10189,Res-189-O,0,SubGroup-0,0,Group-0
10190,Res-190-O,0,SubGroup-0,0,Group-0
10191,Res-191-O,0,SubGroup-0,0,Group-0
10192,Res-192-O,0,SubGroup-0,0,Group-0
10193,Res-193-O,0,SubGroup-0,0,Group-0
10194,Res-194-O,0,SubGroup-0,0,Group-0
10195,Res-195-O,0,SubGroup-0,0,Group-0
10196,Res-196-O,0,SubGroup-0,0,Group-0
10197,Res-197-O,0,SubGroup-0,0,Group-0
10198,Res-198-O,0,SubGroup-0,0,Group-0
10199,Res-199-O,0,SubGroup-0,0,Group-0
10200,Res-200-O,0,SubGroup-0,0,Group-0
10201,Res-201-O,0,SubGroup-0,0,Group-0
10202,Res-202-O,0,SubGroup-0,0,Group-0
10203,Res-203-O,0,SubGroup-0,0,Group-0
10204,Res-204-O,0,SubGroup-0,0,Group-0
10205,Res-205-O,0,SubGroup-0,0,Group-0
10206,Res-206-O,0,SubGroup-0,0,Group-0
10207,Res-207-O,0,SubGroup-0,0,Group-0
10208,Res-208-O,0,SubGroup-0,0,Group-0
10209,Res-209-O,0,SubGroup-0,0,Group-0
10210,Res-210-O,0,SubGroup-0,0,Group-0
10211,Res-211-O,0,SubGroup-0,0,Group-0
10212,Res-212-O,0,SubGroup-0,0,Group-0
10213,Res-213-O,0,SubGroup-0,0,Group-0
10214,Res-214-O,0,SubGroup-0,0,Group-0
10215,Res-215-O,0,SubGroup-0,0,Group-0
10216,Res-216-O,0,SubGroup-0,0,Group-0
10217,Res-217-O,0,SubGroup-0,0,Group-0
10218,Res-218-O,0,SubGroup-0,0,Group-0
10219,Res-219-O,0,SubGroup-0,0,Group-0
10220,Res-220-O,0,SubGroup-0,0,Group-0
10221,Res-221-O,0,SubGroup-0,0,Group-0
10222,Res-222-O,0,SubGroup-0,0,Group-0
10223,Res-223-O,0,SubGroup-0,0,Group-0
10224,Res-224-O,0,SubGroup-0,0,Group-0
10225,Res-225-O,0,SubGroup-0,0,Group-0
10226,Res-226-O,0,SubGroup-0,0,Group-0
10227,Res-227-O,0,SubGroup-0,0,Group-0
10228,Res-228-O,0,SubGroup-0,0,Group-0
10229,Res-229-O,0,SubGroup-0,0,Group-0
10230,Res-230-O,0,SubGroup-0,0,Group-0
10231,Res-231-O,0,SubGroup-0,0,Group-0
10232,Res-232-O,0,SubGroup-0,0,Group-0
10233,Res-233-O,0,SubGroup-0,0,Group-0
10234,Res-234-O,0,SubGroup-0,0,Group-0
10235,Res-235-O,0,SubGroup-0,0,Group-0
10236,Res-236-O,0,SubGroup-0,0,Group-0
10237,Res-237-O,0,SubGroup-0,0,Group-0
10238,Res-238-O,0,SubGroup-0,0,Group-0
10239,Res-239-O,0,SubGroup-0,0,Group-0
10240,Res-240-O,0,SubGroup-0,0,Group-0
10241,Res-241-O,0,SubGroup-0,0,Group-0
10242,Res-242-O,0,SubGroup-0,0,Group-0
10243,Res-243-O,0,SubGroup-0,0,Group-0
10244,Res-244-O,0,SubGroup-0,0,Group-0
10245,Res-245-O,0,SubGroup-0,0,Group-0
10246,Res-246-O,0,SubGroup-0,0,Group-0
10247,Res-247-O,0,SubGroup-0,0,Group-0
10248,Res-248-O,0,SubGroup-0,0,Group-0
10249,Res-249-O,0,SubGroup-0,0,Group-0
10250,Res-250-O,0,SubGroup-0,0,Group-0
10251,Res-251-O,0,SubGroup-0,0,Group-0
10252,Res-252-O,0,SubGroup-0,0,Group-0
10253,Res-253-O,0,SubGroup-0,0,Group-0
10254,Res-254-O,0,SubGroup-0,0,Group-0
10255,Res-255-O,0,SubGroup-0,0,Group-0
10256,Res-256-O,0,SubGroup-0,0,Group-0
10257,Res-257-O,0,SubGroup-0,0,Group-0
10258,Res-258-O,0,SubGroup-0,0,Group-0
10259,Res-259-O,0,SubGroup-0,0,Group-0
10260,Res-260-O,0,SubGroup-0,0,Group-0
10261,Res-261-O,0,SubGroup-0,0,Group-0
10262,Res-262-O,0,SubGroup-0,0,Group-0
10263,Res-263-O,0,SubGroup-0,0,Group-0
10264,Res-264-O,0,SubGroup-0,0,Group-0
10265,Res-265-O,0,SubGroup-0,0,Group-0
10266,Res-266-O,0,SubGroup-0,0,Group-0
10267,Res-267-O,0,SubGroup-0,0,Group-0
10268,Res-268-O,0,SubGroup-0,0,Group-0
10269,Res-269-O,0,SubGroup-0,0,Group-0
10270,Res-270-O,0,SubGroup-0,0,Group-0
10271,Res-271-O,0,SubGroup-0,0,Group-0
10272,Res-272-O,0,SubGroup-0,0,Group-0
10273,Res-273-O,0,SubGroup-0,0,Group-0
10274,Res-274-O,0,SubGroup-0,0,Group-0
10275,Res-275-O,0,SubGroup-0,0,Group-0
10276,Res-276-O,0,SubGroup-0,0,Group-0
10277,Res-277-O,0,SubGroup-0,0,Group-0
10278,Res-278-O,0,SubGroup-0,0,Group-0
10279,Res-279-O,0,SubGroup-0,0,Group-0
10280,Res-280-O,0,SubGroup-0,0,Group-0
10281,Res-281-O,0,SubGroup-0,0,Group-0
10282,Res-282-O,0,SubGroup-0,0,Group-0
10283,Res-283-O,0,SubGroup-0,0,Group-0
10284,Res-284-O,0,SubGroup-0,0,Group-0
10285,Res-285-O,0,SubGroup-0,0,Group-0
10286,Res-286-O,0,SubGroup-0,0,Group-0
10287,Res-287-O,0,SubGroup-0,0,Group-0
10288,Res-288-O,0,SubGroup-0,0,Group-0
10289,Res-289-O,0,SubGroup-0,0,Group-0
10290,Res-290-O,0,SubGroup-0,0,Group-0
10291,Res-291-O,0,SubGroup-0,0,Group-0
10292,Res-292-O,0,SubGroup-0,0,Group-0
10293,Res-293-O,0,SubGroup-0,0,Group-0
10294,Res-294-O,0,SubGroup-0,0,Group-0
10295,Res-295-O,0,SubGroup-0,0,Group-0
10296,Res-296-O,0,SubGroup-0,0,Group-0
10297,Res-297-O,0,SubGroup-0,0,Group-0
10298,Res-298-O,0,SubGroup-0,0,Group-0
10299,Res-299-O,0,SubGroup-0,0,Group-0
10300,Res-300-O,0,SubGroup-0,0,Group-0
10301,Res-301-O,0,SubGroup-0,0,Group-0
10302,Res-302-O,0,SubGroup-0,0,Group-0
10303,Res-303-O,0,SubGroup-0,0,Group-0
10304,Res-304-O,0,SubGroup-0,0,Group-0
10305,Res-305-O,0,SubGroup-0,0,Group-0
10306,Res-306-O,0,SubGroup-0,0,Group-0
10307,Res-307-O,0,SubGroup-0,0,Group-0
10308,Res-308-O,0,SubGroup-0,0,Group-0
10309,Res-309-O,0,SubGroup-0,0,Group-0
10310,Res-310-O,0,SubGroup-0,0,Group-0
10311,Res-311-O,0,SubGroup-0,0,Group-0
10312,Res-312-O,0,SubGroup-0,0,Group-0
10313,Res-313-O,0,SubGroup-0,0,Group-0
10314,Res-314-O,0,SubGroup-0,0,Group-0
10315,Res-315-O,0,SubGroup-0,0,Group-0
10316,Res-316-O,0,SubGroup-0,0,Group-0
10317,Res-317-O,0,SubGroup-0,0,Group-0
10318,Res-318-O,0,SubGroup-0,0,Group-0
10319,Res-319-O,0,SubGroup-0,0,Group-0
10320,Res-320-O,0,SubGroup-0,0,Group-0
10321,Res-321-O,0,SubGroup-0,0,Group-0
10322,Res-322-O,0,SubGroup-0,0,Group-0
10323,Res-323-O,0,SubGroup-0,0,Group-0
10324,Res-324-O,0,SubGroup-0,0,Group-0
10325,Res-325-O,0,SubGroup-0,0,Group-0
10326,Res-326-O,0,SubGroup-0,0,Group-0
10327,Res-327-O,0,SubGroup-0,0,Group-0
10328,Res-328-O,0,SubGroup-0,0,Group-0
10329,Res-329-O,0,SubGroup-0,0,Group-0
10330,Res-330-O,0,SubGroup-0,0,Group-0
10331,Res-331-O,0,SubGroup-0,0,Group-0
10332,Res-332-O,0,SubGroup-0,0,Group-0
10333,Res-333-O,0,SubGroup-0,0,Group-0
10334,Res-334-O,0,SubGroup-0,0,Group-0
10335,Res-335-O,0,SubGroup-0,0,Group-0
10336,Res-336-O,0,SubGroup-0,0,Group-0
10337,Res-337-O,0,SubGroup-0,0,Group-0
10338,Res-338-O,0,SubGroup-0,0,Group-0
10339,Res-339-O,0,SubGroup-0,0,Group-0
10340,Res-340-O,0,SubGroup-0,0,Group-0
10341,Res-341-O,0,SubGroup-0,0,Group-0
10342,Res-342-O,0,SubGroup-0,0,Group-0
10343,Res-343-O,0,SubGroup-0,0,Group-0
10344,Res-344-O,0,SubGroup-0,0,Group-0
10345,Res-345-O,0,SubGroup-0,0,Group-0
10346,Res-346-O,0,SubGroup-0,0,Group-0
10347,Res-347-O,0,SubGroup-0,0,Group-0
10348,Res-348-O,0,SubGroup-0,0,Group-0
10349,Res-349-O,0,SubGroup-0,0,Group-0
10350,Res-350-O,0,SubGroup-0,0,Group-0
10351,Res-351-O,0,SubGroup-0,0,Group-0
10352,Res-352-O,0,SubGroup-0,0,Group-0
10353,Res-353-O,0,SubGroup-0,0,Group-0
10354,Res-354-O,0,SubGroup-0,0,Group-0
10355,Res-355-O,0,SubGroup-0,0,Group-0
10356,Res-356-O,0,SubGroup-0,0,Group-0
10357,Res-357-O,0,SubGroup-0,0,Group-0
10358,Res-358-O,0,SubGroup-0,0,Group-0
10359,Res-359-O,0,SubGroup-0,0,Group-0
10360,Res-360-O,0,SubGroup-0,0,Group-0
10361,Res-361-O,0,SubGroup-0,0,Group-0
10362,Res-362-O,0,SubGroup-0,0,Group-0
10363,Res-363-O,0,SubGroup-0,0,Group-0
10364,Res-364-O,0,SubGroup-0,0,Group-0
10365,Res-365-O,0,SubGroup-0,0,Group-0
10366,Res-366-O,0,SubGroup-0,0,Group-0
10367,Res-367-O,0,SubGroup-0,0,Group-0
10368,Res-368-O,0,SubGroup-0,0,Group-0
10369,Res-369-O,0,SubGroup-0,0,Group-0
10370,Res-370-O,0,SubGroup-0,0,Group-0
10371,Res-371-O,0,SubGroup-0,0,Group-0
10372,Res-372-O,0,SubGroup-0,0,Group-0
10373,Res-373-O,0,SubGroup-0,0,Group-0
10374,Res-374-O,0,SubGroup-0,0,Group-0
10375,Res-375-O,0,SubGroup-0,0,Group-0
10376,Res-376-O,0,SubGroup-0,0,Group-0
10377,Res-377-O,0,SubGroup-0,0,Group-0
10378,Res-378-O,0,SubGroup-0,0,Group-0
10379,Res-379-O,0,SubGroup-0,0,Group-0
10380,Res-380-O,0,SubGroup-0,0,Group-0
10381,Res-381-O,0,SubGroup-0,0,Group-0
10382,Res-382-O,0,SubGroup-0,0,Group-0
10383,Res-383-O,0,SubGroup-0,0,Group-0
10384,Res-384-O,0,SubGroup-0,0,Group-0
10385,Res-385-O,0,SubGroup-0,0,Group-0
10386,Res-386-O,0,SubGroup-0,0,Group-0
10387,Res-387-O,0,SubGroup-0,0,Group-0
10388,Res-388-O,0,SubGroup-0,0,Group-0
10389,Res-389-O,0,SubGroup-0,0,Group-0
10390,Res-390-O,0,SubGroup-0,0,Group-0
10391,Res-391-O,0,SubGroup-0,0,Group-0
10392,Res-392-O,0,SubGroup-0,0,Group-0
10393,Res-393-O,0,SubGroup-0,0,Group-0
10394,Res-394-O,0,SubGroup-0,0,Group-0
10395,Res-395-O,0,SubGroup-0,0,Group-0
10396,Res-396-O,0,SubGroup-0,0,Group-0
10397,Res-397-O,0,SubGroup-0,0,Group-0
10398,Res-398-O,0,SubGroup-0,0,Group-0
10399,Res-399-O,0,SubGroup-0,0,Group-0
10400,Res-400-O,0,SubGroup-0,0,Group-0
10401,Res-401-O,0,SubGroup-0,0,Group-0
10402,Res-402-O,0,SubGroup-0,0,Group-0
10403,Res-403-O,0,SubGroup-0,0,Group-0
10404,Res-404-O,0,SubGroup-0,0,Group-0
10405,Res-405-O,0,SubGroup-0,0,Group-0
10406,Res-406-O,0,SubGroup-0,0,Group-0
10407,Res-407-O,0,SubGroup-0,0,Group-0
10408,Res-408-O,0,SubGroup-0,0,Group-0
10409,Res-409-O,0,SubGroup-0,0,Group-0
10410,Res-410-O,0,SubGroup-0,0,Group-0
10411,Res-411-O,0,SubGroup-0,0,Group-0
10412,Res-412-O,0,SubGroup-0,0,Group-0
10413,Res-413-O,0,SubGroup-0,0,Group-0
10414,Res-414-O,0,SubGroup-0,0,Group-0
10415,Res-415-O,0,SubGroup-0,0,Group-0
10416,Res-416-O,0,SubGroup-0,0,Group-0
10417,Res-417-O,0,SubGroup-0,0,Group-0
10418,Res-418-O,0,SubGroup-0,0,Group-0
10419,Res-419-O,0,SubGroup-0,0,Group-0
10420,Res-420-O,0,SubGroup-0,0,Group-0
10421,Res-421-O,0,SubGroup-0,0,Group-0
10422,Res-422-O,0,SubGroup-0,0,Group-0
10423,Res-423-O,0,SubGroup-0,0,Group-0
10424,Res-424-O,0,SubGroup-0,0,Group-0
10425,Res-425-O,0,SubGroup-0,0,Group-0
10426,Res-426-O,0,SubGroup-0,0,Group-0
10427,Res-427-O,0,SubGroup-0,0,Group-0
10428,Res-428-O,0,SubGroup-0,0,Group-0
10429,Res-429-O,0,SubGroup-0,0,Group-0
10430,Res-430-O,0,SubGroup-0,0,Group-0
10431,Res-431-O,0,SubGroup-0,0,Group-0
10432,Res-432-O,0,SubGroup-0,0,Group-0
10433,Res-433-O,0,SubGroup-0,0,Group-0
10434,Res-434-O,0,SubGroup-0,0,Group-0
10435,Res-435-O,0,SubGroup-0,0,Group-0
10436,Res-436-O,0,SubGroup-0,0,Group-0
10437,Res-437-O,0,SubGroup-0,0,Group-0
10438,Res-438-O,0,SubGroup-0,0,Group-0
10439,Res-439-O,0,SubGroup-0,0,Group-0
10440,Res-440-O,0,SubGroup-0,0,Group-0
10441,Res-441-O,0,SubGroup-0,0,Group-0
10442,Res-442-O,0,SubGroup-0,0,Group-0
10443,Res-443-O,0,SubGroup-0,0,Group-0
10444,Res-444-O,0,SubGroup-0,0,Group-0
10445,Res-445-O,0,SubGroup-0,0,Group-0
10446,Res-446-O,0,SubGroup-0,0,Group-0
10447,Res-447-O,0,SubGroup-0,0,Group-0
10448,Res-448-O,0,SubGroup-0,0,Group-0
10449,Res-449-O,0,SubGroup-0,0,Group-0
10450,Res-450-O,0,SubGroup-0,0,Group-0
10451,Res-451-O,0,SubGroup-0,0,Group-0
10452,Res-452-O,0,SubGroup-0,0,Group-0
10453,Res-453-O,0,SubGroup-0,0,Group-0
10454,Res-454-O,0,SubGroup-0,0,Group-0
10455,Res-455-O,0,SubGroup-0,0,Group-0
10456,Res-456-O,0,SubGroup-0,0,Group-0
10457,Res-457-O,0,SubGroup-0,0,Group-0
10458,Res-458-O,0,SubGroup-0,0,Group-0
10459,Res-459-O,0,SubGroup-0,0,Group-0
10460,Res-460-O,0,SubGroup-0,0,Group-0
10461,Res-461-O,0,SubGroup-0,0,Group-0
10462,Res-462-O,0,SubGroup-0,0,Group-0
10463,Res-463-O,0,SubGroup-0,0,Group-0
10464,Res-464-O,0,SubGroup-0,0,Group-0
10465,Res-465-O,0,SubGroup-0,0,Group-0
10466,Res-466-O,0,SubGroup-0,0,Group-0
10467,Res-467-O,0,SubGroup-0,0,Group-0
10468,Res-468-O,0,SubGroup-0,0,Group-0
10469,Res-469-O,0,SubGroup-0,0,Group-0
10470,Res-470-O,0,SubGroup-0,0,Group-0
10471,Res-471-O,0,SubGroup-0,0,Group-0
10472,Res-472-O,0,SubGroup-0,0,Group-0
10473,Res-473-O,0,SubGroup-0,0,Group-0
10474,Res-474-O,0,SubGroup-0,0,Group-0
10475,Res-475-O,0,SubGroup-0,0,Group-0
10476,Res-476-O,0,SubGroup-0,0,Group-0
10477,Res-477-O,0,SubGroup-0,0,Group-0
10478,Res-478-O,0,SubGroup-0,0,Group-0
10479,Res-479-O,0,SubGroup-0,0,Group-0
10480,Res-480-O,0,SubGroup-0,0,Group-0
10481,Res-481-O,0,SubGroup-0,0,Group-0
10482,Res-482-O,0,SubGroup-0,0,Group-0
10483,Res-483-O,0,SubGroup-0,0,Group-0
10484,Res-484-O,0,SubGroup-0,0,Group-0
10485,Res-485-O,0,SubGroup-0,0,Group-0
10486,Res-486-O,0,SubGroup-0,0,Group-0
10487,Res-487-O,0,SubGroup-0,0,Group-0
10488,Res-488-O,0,SubGroup-0,0,Group-0
10489,Res-489-O,0,SubGroup-0,0,Group-0
10490,Res-490-O,0,SubGroup-0,0,Group-0
10491,Res-491-O,0,SubGroup-0,0,Group-0
10492,Res-492-O,0,SubGroup-0,0,Group-0
10493,Res-493-O,0,SubGroup-0,0,Group-0
10494,Res-494-O,0,SubGroup-0,0,Group-0
10495,Res-495-O,0,SubGroup-0,0,Group-0
10496,Res-496-O,0,SubGroup-0,0,Group-0
10497,Res-497-O,0,SubGroup-0,0,Group-0
10498,Res-498-O,0,SubGroup-0,0,Group-0
10499,Res-499-O,0,SubGroup-0,0,Group-0
10500,Res-500-O,0,SubGroup-0,0,Group-0
10501,Res-501-O,0,SubGroup-0,0,Group-0
10502,Res-502-O,0,SubGroup-0,0,Group-0
10503,Res-503-O,0,SubGroup-0,0,Group-0
10504,Res-504-O,0,SubGroup-0,0,Group-0
10505,Res-505-O,0,SubGroup-0,0,Group-0
10506,Res-506-O,0,SubGroup-0,0,Group-0
10507,Res-507-O,0,SubGroup-0,0,Group-0
10508,Res-508-O,0,SubGroup-0,0,Group-0
10509,Res-509-O,0,SubGroup-0,0,Group-0
10510,Res-510-O,0,SubGroup-0,0,Group-0
10511,Res-511-O,0,SubGroup-0,0,Group-0
