Item.[ItemKey],Location.[LocationKey],Time.[FiscalWeekKey],Version.[VersionKey],BOH,Expected Receipts
1,11,W2-2017,0,,100
2,11,W0-2017,0,250,
2,11,W1-2017,0,,100
2,11,W2-2017,0,,100
3,11,W0-2017,0,200,
3,11,W1-2017,0,,100
3,11,W2-2017,0,,100
0,11,W0-2017,0,200,
0,11,W1-2017,0,,100
0,11,W2-2017,0,,100
1,12,W0-2017,0,150,
1,12,W1-2017,0,,100
1,12,W2-2017,0,,100
2,12,W0-2017,0,150,
2,12,W1-2017,0,,100
2,12,W2-2017,0,,100
3,12,W0-2017,0,200,
3,12,W1-2017,0,,100
3,12,W2-2017,0,,100
0,12,W0-2017,0,250,
0,12,W1-2017,0,,100
0,12,W2-2017,0,,100
1,13,W0-2017,0,200,
1,13,W1-2017,0,,100
1,13,W2-2017,0,,100
2,13,W0-2017,0,200,
2,13,W1-2017,0,,100
2,13,W2-2017,0,,100
3,13,W0-2017,0,150,
3,13,W1-2017,0,,100
3,13,W2-2017,0,,100
0,13,W0-2017,0,250,
0,13,W1-2017,0,,100
0,13,W2-2017,0,,100
1,14,W0-2017,0,250,
1,14,W1-2017,0,,100
1,14,W2-2017,0,,100
2,14,W0-2017,0,250,
2,14,W1-2017,0,,100
2,14,W2-2017,0,,100
3,14,W0-2017,0,250,
3,14,W1-2017,0,,100
3,14,W2-2017,0,,100
0,14,W0-2017,0,250,
0,14,W1-2017,0,,100
0,14,W2-2017,0,,100
1,15,W0-2017,0,200,
1,15,W1-2017,0,,100
1,15,W2-2017,0,,100
2,15,W0-2017,0,150,
2,15,W1-2017,0,,100
2,15,W2-2017,0,,100
3,15,W0-2017,0,250,
3,15,W1-2017,0,,100
3,15,W2-2017,0,,100
0,15,W0-2017,0,250,
0,15,W1-2017,0,,100
0,15,W2-2017,0,,100
1,16,W0-2017,0,150,
1,16,W1-2017,0,,100
1,16,W2-2017,0,,100
2,16,W0-2017,0,250,
2,16,W1-2017,0,,100
2,16,W2-2017,0,,100
3,16,W0-2017,0,150,
3,16,W1-2017,0,,100
3,16,W2-2017,0,,100
0,16,W0-2017,0,200,
0,16,W1-2017,0,,100
0,16,W2-2017,0,,100
1,17,W0-2017,0,250,
1,17,W1-2017,0,,100
1,17,W2-2017,0,,100
2,17,W0-2017,0,150,
2,17,W1-2017,0,,100
2,17,W2-2017,0,,100
3,17,W0-2017,0,250,
3,17,W1-2017,0,,100
3,17,W2-2017,0,,100
0,17,W0-2017,0,200,
0,17,W1-2017,0,,100
0,17,W2-2017,0,,100
1,18,W0-2017,0,200,
1,18,W1-2017,0,,100
1,18,W2-2017,0,,100
2,18,W0-2017,0,250,
2,18,W1-2017,0,,100
2,18,W2-2017,0,,100
3,18,W0-2017,0,250,
3,18,W1-2017,0,,100
3,18,W2-2017,0,,100
0,18,W0-2017,0,150,
0,18,W1-2017,0,,100
0,18,W2-2017,0,,100
1,19,W0-2017,0,250,
1,19,W1-2017,0,,100
1,19,W2-2017,0,,100
2,19,W0-2017,0,250,
2,19,W1-2017,0,,100
2,19,W2-2017,0,,100
3,19,W0-2017,0,150,
3,19,W1-2017,0,,100
3,19,W2-2017,0,,100
0,19,W0-2017,0,250,
0,19,W1-2017,0,,100
0,19,W2-2017,0,,100
1,20,W0-2017,0,150,
1,20,W1-2017,0,,100
1,20,W2-2017,0,,100
2,20,W0-2017,0,200,
2,20,W1-2017,0,,100
2,20,W2-2017,0,,100
3,20,W0-2017,0,200,
3,20,W1-2017,0,,100
3,20,W2-2017,0,,100
0,20,W0-2017,0,150,
0,20,W1-2017,0,,100
0,20,W2-2017,0,,100
1,21,W0-2017,0,250,
1,21,W1-2017,0,,100
1,21,W2-2017,0,,100
2,21,W0-2017,0,200,
2,21,W1-2017,0,,100
2,21,W2-2017,0,,100
3,21,W0-2017,0,250,
3,21,W1-2017,0,,100
3,21,W2-2017,0,,100
0,21,W0-2017,0,250,
0,21,W1-2017,0,,100
0,21,W2-2017,0,,100
1,22,W0-2017,0,250,
1,22,W1-2017,0,,100
1,22,W2-2017,0,,100
2,22,W0-2017,0,250,
2,22,W1-2017,0,,100
2,22,W2-2017,0,,100
3,22,W0-2017,0,250,
3,22,W1-2017,0,,100
3,22,W2-2017,0,,100
0,22,W0-2017,0,150,
0,22,W1-2017,0,,100
0,22,W2-2017,0,,100
1,23,W0-2017,0,200,
1,23,W1-2017,0,,100
1,23,W2-2017,0,,100
2,23,W0-2017,0,200,
2,23,W1-2017,0,,100
2,23,W2-2017,0,,100
3,23,W0-2017,0,150,
3,23,W1-2017,0,,100
3,23,W2-2017,0,,100
0,23,W0-2017,0,150,
0,23,W1-2017,0,,100
0,23,W2-2017,0,,100
1,24,W0-2017,0,250,
1,24,W1-2017,0,,100
1,24,W2-2017,0,,100
2,24,W0-2017,0,150,
2,24,W1-2017,0,,100
2,24,W2-2017,0,,100
3,24,W0-2017,0,150,
3,24,W1-2017,0,,100
3,24,W2-2017,0,,100
0,24,W0-2017,0,150,
0,24,W1-2017,0,,100
0,24,W2-2017,0,,100
1,25,W0-2017,0,200,
1,25,W1-2017,0,,100
1,25,W2-2017,0,,100
2,25,W0-2017,0,250,
2,25,W1-2017,0,,100
2,25,W2-2017,0,,100
3,25,W0-2017,0,200,
3,25,W1-2017,0,,100
3,25,W2-2017,0,,100
0,25,W0-2017,0,250,
0,25,W1-2017,0,,100
0,25,W2-2017,0,,100
1,26,W0-2017,0,150,
1,26,W1-2017,0,,100
1,26,W2-2017,0,,100
2,26,W0-2017,0,250,
2,26,W1-2017,0,,100
2,26,W2-2017,0,,100
3,26,W0-2017,0,150,
3,26,W1-2017,0,,100
3,26,W2-2017,0,,100
0,26,W0-2017,0,250,
0,26,W1-2017,0,,100
0,26,W2-2017,0,,100
1,27,W0-2017,0,250,
1,27,W1-2017,0,,100
1,27,W2-2017,0,,100
2,27,W0-2017,0,150,
2,27,W1-2017,0,,100
2,27,W2-2017,0,,100
3,27,W0-2017,0,150,
3,27,W1-2017,0,,100
3,27,W2-2017,0,,100
0,27,W0-2017,0,150,
0,27,W1-2017,0,,100
0,27,W2-2017,0,,100
1,28,W0-2017,0,200,
1,28,W1-2017,0,,100
1,28,W2-2017,0,,100
2,28,W0-2017,0,250,
2,28,W1-2017,0,,100
2,28,W2-2017,0,,100
3,28,W0-2017,0,200,
3,28,W1-2017,0,,100
3,28,W2-2017,0,,100
0,28,W0-2017,0,150,
0,28,W1-2017,0,,100
0,28,W2-2017,0,,100
1,29,W0-2017,0,250,
1,29,W1-2017,0,,100
1,29,W2-2017,0,,100
2,29,W0-2017,0,200,
2,29,W1-2017,0,,100
2,29,W2-2017,0,,100
3,29,W0-2017,0,150,
3,29,W1-2017,0,,100
3,29,W2-2017,0,,100
0,29,W0-2017,0,200,
0,29,W1-2017,0,,100
0,29,W2-2017,0,,100
1,30,W0-2017,0,150,
1,30,W1-2017,0,,100
1,30,W2-2017,0,,100
2,30,W0-2017,0,200,
2,30,W1-2017,0,,100
2,30,W2-2017,0,,100
3,30,W0-2017,0,250,
3,30,W1-2017,0,,100
3,30,W2-2017,0,,100
0,30,W0-2017,0,150,
0,30,W1-2017,0,,100
0,30,W2-2017,0,,100
1,31,W0-2017,0,150,
1,31,W1-2017,0,,100
1,31,W2-2017,0,,100
2,31,W0-2017,0,250,
2,31,W1-2017,0,,100
2,31,W2-2017,0,,100
3,31,W0-2017,0,250,
3,31,W1-2017,0,,100
3,31,W2-2017,0,,100
0,31,W0-2017,0,250,
0,31,W1-2017,0,,100
0,31,W2-2017,0,,100
1,32,W0-2017,0,200,
1,32,W1-2017,0,,100
1,32,W2-2017,0,,100
2,32,W0-2017,0,200,
2,32,W1-2017,0,,100
2,32,W2-2017,0,,100
3,32,W0-2017,0,150,
3,32,W1-2017,0,,100
3,32,W2-2017,0,,100
0,32,W0-2017,0,200,
0,32,W1-2017,0,,100
0,32,W2-2017,0,,100
1,33,W0-2017,0,200,
1,33,W1-2017,0,,100
1,33,W2-2017,0,,100
2,33,W0-2017,0,150,
2,33,W1-2017,0,,100
2,33,W2-2017,0,,100
3,33,W0-2017,0,150,
3,33,W1-2017,0,,100
3,33,W2-2017,0,,100
0,33,W0-2017,0,200,
0,33,W1-2017,0,,100
0,33,W2-2017,0,,100
1,34,W0-2017,0,250,
1,34,W1-2017,0,,100
1,34,W2-2017,0,,100
2,34,W0-2017,0,200,
2,34,W1-2017,0,,100
2,34,W2-2017,0,,100
3,34,W0-2017,0,150,
3,34,W1-2017,0,,100
3,34,W2-2017,0,,100
0,34,W0-2017,0,250,
0,34,W1-2017,0,,100
0,34,W2-2017,0,,100
1,35,W0-2017,0,200,
1,35,W1-2017,0,,100
1,35,W2-2017,0,,100
2,35,W0-2017,0,250,
2,35,W1-2017,0,,100
2,35,W2-2017,0,,100
3,35,W0-2017,0,150,
3,35,W1-2017,0,,100
3,35,W2-2017,0,,100
0,35,W0-2017,0,250,
0,35,W1-2017,0,,100
0,35,W2-2017,0,,100
1,36,W0-2017,0,200,
1,36,W1-2017,0,,100
1,36,W2-2017,0,,100
2,36,W0-2017,0,250,
2,36,W1-2017,0,,100
2,36,W2-2017,0,,100
3,36,W0-2017,0,250,
3,36,W1-2017,0,,100
3,36,W2-2017,0,,100
0,36,W0-2017,0,200,
0,36,W1-2017,0,,100
0,36,W2-2017,0,,100
1,37,W0-2017,0,150,
1,37,W1-2017,0,,100
1,37,W2-2017,0,,100
2,37,W0-2017,0,150,
2,37,W1-2017,0,,100
2,37,W2-2017,0,,100
3,37,W0-2017,0,200,
3,37,W1-2017,0,,100
3,37,W2-2017,0,,100
0,37,W0-2017,0,150,
0,37,W1-2017,0,,100
0,37,W2-2017,0,,100
1,38,W0-2017,0,250,
1,38,W1-2017,0,,100
1,38,W2-2017,0,,100
2,38,W0-2017,0,200,
2,38,W1-2017,0,,100
2,38,W2-2017,0,,100
3,38,W0-2017,0,150,
3,38,W1-2017,0,,100
3,38,W2-2017,0,,100
0,38,W0-2017,0,150,
0,38,W1-2017,0,,100
0,38,W2-2017,0,,100
1,39,W0-2017,0,250,
1,39,W1-2017,0,,100
1,39,W2-2017,0,,100
2,39,W0-2017,0,200,
2,39,W1-2017,0,,100
2,39,W2-2017,0,,100
3,39,W0-2017,0,200,
3,39,W1-2017,0,,100
3,39,W2-2017,0,,100
0,39,W0-2017,0,200,
0,39,W1-2017,0,,100
0,39,W2-2017,0,,100
1,40,W0-2017,0,250,
1,40,W1-2017,0,,100
1,40,W2-2017,0,,100
2,40,W0-2017,0,150,
2,40,W1-2017,0,,100
2,40,W2-2017,0,,100
3,40,W0-2017,0,200,
3,40,W1-2017,0,,100
3,40,W2-2017,0,,100
0,40,W0-2017,0,150,
0,40,W1-2017,0,,100
0,40,W2-2017,0,,100
1,41,W0-2017,0,250,
1,41,W1-2017,0,,100
1,41,W2-2017,0,,100
2,41,W0-2017,0,200,
2,41,W1-2017,0,,100
2,41,W2-2017,0,,100
3,41,W0-2017,0,200,
3,41,W1-2017,0,,100
3,41,W2-2017,0,,100
0,41,W0-2017,0,200,
0,41,W1-2017,0,,100
0,41,W2-2017,0,,100
1,42,W0-2017,0,250,
1,42,W1-2017,0,,100
1,42,W2-2017,0,,100
2,42,W0-2017,0,250,
2,42,W1-2017,0,,100
2,42,W2-2017,0,,100
3,42,W0-2017,0,150,
3,42,W1-2017,0,,100
3,42,W2-2017,0,,100
0,42,W0-2017,0,150,
0,42,W1-2017,0,,100
0,42,W2-2017,0,,100
1,43,W0-2017,0,200,
1,43,W1-2017,0,,100
1,43,W2-2017,0,,100
2,43,W0-2017,0,200,
2,43,W1-2017,0,,100
2,43,W2-2017,0,,100
3,43,W0-2017,0,150,
3,43,W1-2017,0,,100
3,43,W2-2017,0,,100
0,43,W0-2017,0,150,
0,43,W1-2017,0,,100
0,43,W2-2017,0,,100
1,44,W0-2017,0,150,
1,44,W1-2017,0,,100
1,44,W2-2017,0,,100
2,44,W0-2017,0,150,
2,44,W1-2017,0,,100
2,44,W2-2017,0,,100
3,44,W0-2017,0,200,
3,44,W1-2017,0,,100
3,44,W2-2017,0,,100
0,44,W0-2017,0,200,
0,44,W1-2017,0,,100
0,44,W2-2017,0,,100
1,45,W0-2017,0,150,
1,45,W1-2017,0,,100
1,45,W2-2017,0,,100
2,45,W0-2017,0,200,
2,45,W1-2017,0,,100
2,45,W2-2017,0,,100
3,45,W0-2017,0,250,
3,45,W1-2017,0,,100
3,45,W2-2017,0,,100
0,45,W0-2017,0,150,
0,45,W1-2017,0,,100
0,45,W2-2017,0,,100
1,46,W0-2017,0,250,
1,46,W1-2017,0,,100
1,46,W2-2017,0,,100
2,46,W0-2017,0,150,
2,46,W1-2017,0,,100
2,46,W2-2017,0,,100
3,46,W0-2017,0,200,
3,46,W1-2017,0,,100
3,46,W2-2017,0,,100
0,46,W0-2017,0,250,
0,46,W1-2017,0,,100
0,46,W2-2017,0,,100
1,47,W0-2017,0,250,
1,47,W1-2017,0,,100
1,47,W2-2017,0,,100
2,47,W0-2017,0,150,
2,47,W1-2017,0,,100
2,47,W2-2017,0,,100
3,47,W0-2017,0,200,
3,47,W1-2017,0,,100
3,47,W2-2017,0,,100
0,47,W0-2017,0,150,
0,47,W1-2017,0,,100
0,47,W2-2017,0,,100
1,48,W0-2017,0,250,
1,48,W1-2017,0,,100
1,48,W2-2017,0,,100
2,48,W0-2017,0,200,
2,48,W1-2017,0,,100
2,48,W2-2017,0,,100
3,48,W0-2017,0,250,
3,48,W1-2017,0,,100
3,48,W2-2017,0,,100
0,48,W0-2017,0,150,
0,48,W1-2017,0,,100
0,48,W2-2017,0,,100
1,49,W0-2017,0,200,
1,49,W1-2017,0,,100
1,49,W2-2017,0,,100
2,49,W0-2017,0,250,
2,49,W1-2017,0,,100
2,49,W2-2017,0,,100
3,49,W0-2017,0,250,
3,49,W1-2017,0,,100
3,49,W2-2017,0,,100
0,49,W0-2017,0,250,
0,49,W1-2017,0,,100
0,49,W2-2017,0,,100
1,50,W0-2017,0,150,
1,50,W1-2017,0,,100
1,50,W2-2017,0,,100
2,50,W0-2017,0,150,
2,50,W1-2017,0,,100
2,50,W2-2017,0,,100
3,50,W0-2017,0,250,
3,50,W1-2017,0,,100
3,50,W2-2017,0,,100
0,50,W0-2017,0,150,
0,50,W1-2017,0,,100
0,50,W2-2017,0,,100
1,51,W0-2017,0,250,
1,51,W1-2017,0,,100
1,51,W2-2017,0,,100
2,51,W0-2017,0,200,
2,51,W1-2017,0,,100
2,51,W2-2017,0,,100
3,51,W0-2017,0,250,
3,51,W1-2017,0,,100
3,51,W2-2017,0,,100
0,51,W0-2017,0,200,
0,51,W1-2017,0,,100
0,51,W2-2017,0,,100
1,52,W0-2017,0,200,
1,52,W1-2017,0,,100
1,52,W2-2017,0,,100
2,52,W0-2017,0,250,
2,52,W1-2017,0,,100
2,52,W2-2017,0,,100
3,52,W0-2017,0,150,
3,52,W1-2017,0,,100
3,52,W2-2017,0,,100
0,52,W0-2017,0,250,
0,52,W1-2017,0,,100
0,52,W2-2017,0,,100
1,53,W0-2017,0,150,
1,53,W1-2017,0,,100
1,53,W2-2017,0,,100
2,53,W0-2017,0,150,
2,53,W1-2017,0,,100
2,53,W2-2017,0,,100
3,53,W0-2017,0,200,
3,53,W1-2017,0,,100
3,53,W2-2017,0,,100
0,53,W0-2017,0,200,
0,53,W1-2017,0,,100
0,53,W2-2017,0,,100
1,54,W0-2017,0,150,
1,54,W1-2017,0,,100
1,54,W2-2017,0,,100
2,54,W0-2017,0,150,
2,54,W1-2017,0,,100
2,54,W2-2017,0,,100
3,54,W0-2017,0,150,
3,54,W1-2017,0,,100
3,54,W2-2017,0,,100
0,54,W0-2017,0,250,
0,54,W1-2017,0,,100
0,54,W2-2017,0,,100
1,55,W0-2017,0,150,
1,55,W1-2017,0,,100
1,55,W2-2017,0,,100
2,55,W0-2017,0,200,
2,55,W1-2017,0,,100
2,55,W2-2017,0,,100
3,55,W0-2017,0,200,
3,55,W1-2017,0,,100
3,55,W2-2017,0,,100
0,55,W0-2017,0,200,
0,55,W1-2017,0,,100
0,55,W2-2017,0,,100
1,56,W0-2017,0,200,
1,56,W1-2017,0,,100
1,56,W2-2017,0,,100
2,56,W0-2017,0,150,
2,56,W1-2017,0,,100
2,56,W2-2017,0,,100
3,56,W0-2017,0,150,
3,56,W1-2017,0,,100
3,56,W2-2017,0,,100
0,56,W0-2017,0,250,
0,56,W1-2017,0,,100
0,56,W2-2017,0,,100
1,57,W0-2017,0,250,
1,57,W1-2017,0,,100
1,57,W2-2017,0,,100
2,57,W0-2017,0,250,
2,57,W1-2017,0,,100
2,57,W2-2017,0,,100
3,57,W0-2017,0,200,
3,57,W1-2017,0,,100
3,57,W2-2017,0,,100
0,57,W0-2017,0,150,
0,57,W1-2017,0,,100
0,57,W2-2017,0,,100
1,58,W0-2017,0,150,
1,58,W1-2017,0,,100
1,58,W2-2017,0,,100
2,58,W0-2017,0,200,
2,58,W1-2017,0,,100
2,58,W2-2017,0,,100
3,58,W0-2017,0,150,
3,58,W1-2017,0,,100
3,58,W2-2017,0,,100
0,58,W0-2017,0,250,
0,58,W1-2017,0,,100
0,58,W2-2017,0,,100
1,59,W0-2017,0,200,
1,59,W1-2017,0,,100
1,59,W2-2017,0,,100
2,59,W0-2017,0,200,
2,59,W1-2017,0,,100
2,59,W2-2017,0,,100
3,59,W0-2017,0,150,
3,59,W1-2017,0,,100
3,59,W2-2017,0,,100
0,59,W0-2017,0,200,
0,59,W1-2017,0,,100
0,59,W2-2017,0,,100
1,60,W0-2017,0,150,
1,60,W1-2017,0,,100
1,60,W2-2017,0,,100
2,60,W0-2017,0,250,
2,60,W1-2017,0,,100
2,60,W2-2017,0,,100
3,60,W0-2017,0,200,
3,60,W1-2017,0,,100
3,60,W2-2017,0,,100
0,60,W0-2017,0,150,
0,60,W1-2017,0,,100
0,60,W2-2017,0,,100
1,61,W0-2017,0,250,
1,61,W1-2017,0,,100
1,61,W2-2017,0,,100
2,61,W0-2017,0,250,
2,61,W1-2017,0,,100
2,61,W2-2017,0,,100
3,61,W0-2017,0,150,
3,61,W1-2017,0,,100
3,61,W2-2017,0,,100
0,61,W0-2017,0,250,
0,61,W1-2017,0,,100
0,61,W2-2017,0,,100
1,62,W0-2017,0,150,
1,62,W1-2017,0,,100
1,62,W2-2017,0,,100
2,62,W0-2017,0,150,
2,62,W1-2017,0,,100
2,62,W2-2017,0,,100
3,62,W0-2017,0,150,
3,62,W1-2017,0,,100
3,62,W2-2017,0,,100
0,62,W0-2017,0,150,
0,62,W1-2017,0,,100
0,62,W2-2017,0,,100
1,63,W0-2017,0,250,
1,63,W1-2017,0,,100
1,63,W2-2017,0,,100
2,63,W0-2017,0,150,
2,63,W1-2017,0,,100
2,63,W2-2017,0,,100
3,63,W0-2017,0,250,
3,63,W1-2017,0,,100
3,63,W2-2017,0,,100
0,63,W0-2017,0,200,
0,63,W1-2017,0,,100
0,63,W2-2017,0,,100
1,64,W0-2017,0,200,
1,64,W1-2017,0,,100
1,64,W2-2017,0,,100
2,64,W0-2017,0,150,
2,64,W1-2017,0,,100
2,64,W2-2017,0,,100
3,64,W0-2017,0,250,
3,64,W1-2017,0,,100
3,64,W2-2017,0,,100
0,64,W0-2017,0,250,
0,64,W1-2017,0,,100
0,64,W2-2017,0,,100
1,65,W0-2017,0,200,
1,65,W1-2017,0,,100
1,65,W2-2017,0,,100
2,65,W0-2017,0,250,
2,65,W1-2017,0,,100
2,65,W2-2017,0,,100
3,65,W0-2017,0,250,
3,65,W1-2017,0,,100
3,65,W2-2017,0,,100
0,65,W0-2017,0,200,
0,65,W1-2017,0,,100
0,65,W2-2017,0,,100
1,66,W0-2017,0,200,
1,66,W1-2017,0,,100
1,66,W2-2017,0,,100
2,66,W0-2017,0,250,
2,66,W1-2017,0,,100
2,66,W2-2017,0,,100
3,66,W0-2017,0,200,
3,66,W1-2017,0,,100
3,66,W2-2017,0,,100
0,66,W0-2017,0,200,
0,66,W1-2017,0,,100
0,66,W2-2017,0,,100
1,67,W0-2017,0,250,
1,67,W1-2017,0,,100
1,67,W2-2017,0,,100
2,67,W0-2017,0,200,
2,67,W1-2017,0,,100
2,67,W2-2017,0,,100
3,67,W0-2017,0,150,
3,67,W1-2017,0,,100
3,67,W2-2017,0,,100
0,67,W0-2017,0,200,
0,67,W1-2017,0,,100
0,67,W2-2017,0,,100
1,68,W0-2017,0,250,
1,68,W1-2017,0,,100
1,68,W2-2017,0,,100
2,68,W0-2017,0,250,
2,68,W1-2017,0,,100
2,68,W2-2017,0,,100
3,68,W0-2017,0,200,
3,68,W1-2017,0,,100
3,68,W2-2017,0,,100
0,68,W0-2017,0,150,
0,68,W1-2017,0,,100
0,68,W2-2017,0,,100
1,69,W0-2017,0,150,
1,69,W1-2017,0,,100
1,69,W2-2017,0,,100
2,69,W0-2017,0,200,
2,69,W1-2017,0,,100
2,69,W2-2017,0,,100
3,69,W0-2017,0,250,
3,69,W1-2017,0,,100
3,69,W2-2017,0,,100
0,69,W0-2017,0,200,
0,69,W1-2017,0,,100
0,69,W2-2017,0,,100
1,70,W0-2017,0,250,
1,70,W1-2017,0,,100
1,70,W2-2017,0,,100
2,70,W0-2017,0,150,
2,70,W1-2017,0,,100
2,70,W2-2017,0,,100
3,70,W0-2017,0,250,
3,70,W1-2017,0,,100
3,70,W2-2017,0,,100
0,70,W0-2017,0,200,
0,70,W1-2017,0,,100
0,70,W2-2017,0,,100
1,71,W0-2017,0,250,
1,71,W1-2017,0,,100
1,71,W2-2017,0,,100
2,71,W0-2017,0,200,
2,71,W1-2017,0,,100
2,71,W2-2017,0,,100
3,71,W0-2017,0,200,
3,71,W1-2017,0,,100
3,71,W2-2017,0,,100
0,71,W0-2017,0,150,
0,71,W1-2017,0,,100
0,71,W2-2017,0,,100
1,72,W0-2017,0,200,
1,72,W1-2017,0,,100
1,72,W2-2017,0,,100
2,72,W0-2017,0,200,
2,72,W1-2017,0,,100
2,72,W2-2017,0,,100
3,72,W0-2017,0,150,
3,72,W1-2017,0,,100
3,72,W2-2017,0,,100
0,72,W0-2017,0,150,
0,72,W1-2017,0,,100
0,72,W2-2017,0,,100
1,73,W0-2017,0,250,
1,73,W1-2017,0,,100
1,73,W2-2017,0,,100
2,73,W0-2017,0,200,
2,73,W1-2017,0,,100
2,73,W2-2017,0,,100
3,73,W0-2017,0,250,
3,73,W1-2017,0,,100
3,73,W2-2017,0,,100
0,73,W0-2017,0,200,
0,73,W1-2017,0,,100
0,73,W2-2017,0,,100
1,74,W0-2017,0,150,
1,74,W1-2017,0,,100
1,74,W2-2017,0,,100
2,74,W0-2017,0,150,
2,74,W1-2017,0,,100
2,74,W2-2017,0,,100
3,74,W0-2017,0,200,
3,74,W1-2017,0,,100
3,74,W2-2017,0,,100
0,74,W0-2017,0,150,
0,74,W1-2017,0,,100
0,74,W2-2017,0,,100
1,75,W0-2017,0,200,
1,75,W1-2017,0,,100
1,75,W2-2017,0,,100
2,75,W0-2017,0,200,
2,75,W1-2017,0,,100
2,75,W2-2017,0,,100
3,75,W0-2017,0,250,
3,75,W1-2017,0,,100
3,75,W2-2017,0,,100
0,75,W0-2017,0,200,
0,75,W1-2017,0,,100
0,75,W2-2017,0,,100
1,76,W0-2017,0,150,
1,76,W1-2017,0,,100
1,76,W2-2017,0,,100
2,76,W0-2017,0,200,
2,76,W1-2017,0,,100
2,76,W2-2017,0,,100
3,76,W0-2017,0,150,
3,76,W1-2017,0,,100
3,76,W2-2017,0,,100
0,76,W0-2017,0,250,
0,76,W1-2017,0,,100
0,76,W2-2017,0,,100
1,77,W0-2017,0,200,
